sample,spec,n_obs,n_cz,n_years,n_rhs_terms,residualized_rank,residualized_rank_deficiency,condition_number,min_singular_value,max_singular_value,fixest_dropped_variables,fixest_dropped_count
main_1972_start,minimal_full_panel,9386,722,13,12,12,0,3.605551275463991,0.7038056058818297,2.537607199965938,,0
main_1972_start,interacted_core_controls_diagnostic,9386,722,13,48,48,0,20.919223888461445,0.12403208116415551,2.5946548752247907,,0
main_1972_start,interacted_controls_full_panel,9386,722,13,84,84,0,25.478944449999528,0.10206499876243272,2.6005084337572937,,0
main_1972_start,interacted_controls_full_panel_raw_controls_diagnostic,9386,722,13,84,84,0,218.38575332342106,0.056073525444048644,12.245659095598581,,0
diagnostic_1952_start,minimal_full_panel,12996,722,18,17,17,0,4.242640687119288,0.5981197530279069,2.537607199965938,,0
diagnostic_1952_start,interacted_core_controls_diagnostic,12996,722,18,68,68,0,24.61558403457259,0.10540700036125893,2.5946548752247924,,0
diagnostic_1952_start,interacted_controls_full_panel,12996,722,18,119,119,0,29.98099267760637,0.08673857005741127,2.6005084337572946,,0
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,12996,722,18,119,119,0,256.97381946618134,0.047653333405857576,12.245659095598592,,0
