exposure_period,spec,instrument,estimate,std.error,statistic,p.value,first_stage_F_t2,n_obs
1990_2000,minimal,instrument_1990_2000,0.9496817017180534,0.11177932192386832,8.496040997322128,4.679082534080388e-11,72.18271262817838,722
1990_2000,core_controls,instrument_1990_2000,0.7947690477591673,0.13720741746502915,5.792464157134469,5.540125581126277e-7,33.552641011687534,722
1990_2000,full_controls,instrument_1990_2000,0.7838310769443464,0.13871789453524438,5.650540469709887,9.061047334344186e-7,31.928607599829235,722
2000_2007,minimal,instrument_2000_2007,0.7520326798570016,0.08484484456918759,8.863622576899754,1.3527915413163771e-11,78.56380518572703,722
2000_2007,core_controls,instrument_2000_2007,0.5776677551283625,0.10971212498698477,5.265304588685086,3.41195389943634e-6,27.723432411628224,722
2000_2007,full_controls,instrument_2000_2007,0.5583873812695379,0.11276697340583154,4.951692542638215,9.902967917914065e-6,24.51925903681891,722
