source_decade,gisjoin_source,county_fips_source,weight_type,weight_sum,n_parts,n_missing_parts,available,zero_or_undefined_support
1970,G0100010,01001,m2_weight,1,1,0,TRUE,FALSE
1970,G0100010,01001,m4_weight,1,1,0,TRUE,FALSE
1970,G0100010,01001,m5_weight,1,1,0,TRUE,FALSE
1970,G0100010,01001,m6_weight,1,1,0,TRUE,FALSE
1970,G0100030,01003,m2_weight,1,1,0,TRUE,FALSE
1970,G0100030,01003,m4_weight,1,1,0,TRUE,FALSE
1970,G0100030,01003,m5_weight,1,1,0,TRUE,FALSE
1970,G0100030,01003,m6_weight,1,1,0,TRUE,FALSE
1970,G0100050,01005,m2_weight,1,9,0,TRUE,FALSE
1970,G0100050,01005,m4_weight,1,9,0,TRUE,FALSE
1970,G0100050,01005,m5_weight,1,9,0,TRUE,FALSE
1970,G0100050,01005,m6_weight,1,9,0,TRUE,FALSE
1970,G0100070,01007,m2_weight,1,3,0,TRUE,FALSE
1970,G0100070,01007,m4_weight,1,3,0,TRUE,FALSE
1970,G0100070,01007,m5_weight,1,3,0,TRUE,FALSE
1970,G0100070,01007,m6_weight,1,3,0,TRUE,FALSE
1970,G0100090,01009,m2_weight,1,3,0,TRUE,FALSE
1970,G0100090,01009,m4_weight,1,3,0,TRUE,FALSE
1970,G0100090,01009,m5_weight,1,3,0,TRUE,FALSE
1970,G0100090,01009,m6_weight,1,3,0,TRUE,FALSE
1970,G0100110,01011,m2_weight,1,7,0,TRUE,FALSE
1970,G0100110,01011,m4_weight,1,7,0,TRUE,FALSE
1970,G0100110,01011,m5_weight,1,7,0,TRUE,FALSE
1970,G0100110,01011,m6_weight,1,7,0,TRUE,FALSE
1970,G0100130,01013,m2_weight,1,7,0,TRUE,FALSE
1970,G0100130,01013,m4_weight,1,7,0,TRUE,FALSE
1970,G0100130,01013,m5_weight,1,7,0,TRUE,FALSE
1970,G0100130,01013,m6_weight,1,7,0,TRUE,FALSE
1970,G0100150,01015,m2_weight,1,5,0,TRUE,FALSE
1970,G0100150,01015,m4_weight,1,5,0,TRUE,FALSE
1970,G0100150,01015,m5_weight,1,5,0,TRUE,FALSE
1970,G0100150,01015,m6_weight,1,5,0,TRUE,FALSE
1970,G0100170,01017,m2_weight,1,3,0,TRUE,FALSE
1970,G0100170,01017,m4_weight,1,3,0,TRUE,FALSE
1970,G0100170,01017,m5_weight,1,3,0,TRUE,FALSE
1970,G0100170,01017,m6_weight,1,3,0,TRUE,FALSE
1970,G0100190,01019,m2_weight,1,3,0,TRUE,FALSE
1970,G0100190,01019,m4_weight,1,3,0,TRUE,FALSE
1970,G0100190,01019,m5_weight,1,3,0,TRUE,FALSE
1970,G0100190,01019,m6_weight,1,3,0,TRUE,FALSE
1970,G0100210,01021,m2_weight,1,1,0,TRUE,FALSE
1970,G0100210,01021,m4_weight,1,1,0,TRUE,FALSE
1970,G0100210,01021,m5_weight,1,1,0,TRUE,FALSE
1970,G0100210,01021,m6_weight,1,1,0,TRUE,FALSE
1970,G0100230,01023,m2_weight,1,7,0,TRUE,FALSE
1970,G0100230,01023,m4_weight,1,7,0,TRUE,FALSE
1970,G0100230,01023,m5_weight,1,7,0,TRUE,FALSE
1970,G0100230,01023,m6_weight,1,7,0,TRUE,FALSE
1970,G0100250,01025,m2_weight,1,7,0,TRUE,FALSE
1970,G0100250,01025,m4_weight,1,7,0,TRUE,FALSE
1970,G0100250,01025,m5_weight,1,7,0,TRUE,FALSE
1970,G0100250,01025,m6_weight,1,7,0,TRUE,FALSE
1970,G0100270,01027,m2_weight,1,7,0,TRUE,FALSE
1970,G0100270,01027,m4_weight,1,7,0,TRUE,FALSE
1970,G0100270,01027,m5_weight,1,7,0,TRUE,FALSE
1970,G0100270,01027,m6_weight,1,7,0,TRUE,FALSE
1970,G0100290,01029,m2_weight,1,7,0,TRUE,FALSE
1970,G0100290,01029,m4_weight,1,7,0,TRUE,FALSE
1970,G0100290,01029,m5_weight,1,7,0,TRUE,FALSE
1970,G0100290,01029,m6_weight,1,7,0,TRUE,FALSE
1970,G0100310,01031,m2_weight,1,7,0,TRUE,FALSE
1970,G0100310,01031,m4_weight,1,7,0,TRUE,FALSE
1970,G0100310,01031,m5_weight,1,7,0,TRUE,FALSE
1970,G0100310,01031,m6_weight,1,7,0,TRUE,FALSE
1970,G0100330,01033,m2_weight,1,1,0,TRUE,FALSE
1970,G0100330,01033,m4_weight,1,1,0,TRUE,FALSE
1970,G0100330,01033,m5_weight,1,1,0,TRUE,FALSE
1970,G0100330,01033,m6_weight,1,1,0,TRUE,FALSE
1970,G0100350,01035,m2_weight,1,9,0,TRUE,FALSE
1970,G0100350,01035,m4_weight,1,9,0,TRUE,FALSE
1970,G0100350,01035,m5_weight,1,9,0,TRUE,FALSE
1970,G0100350,01035,m6_weight,1,9,0,TRUE,FALSE
1970,G0100370,01037,m2_weight,1,5,0,TRUE,FALSE
1970,G0100370,01037,m4_weight,1,5,0,TRUE,FALSE
1970,G0100370,01037,m5_weight,1,5,0,TRUE,FALSE
1970,G0100370,01037,m6_weight,1,5,0,TRUE,FALSE
1970,G0100390,01039,m2_weight,1,7,0,TRUE,FALSE
1970,G0100390,01039,m4_weight,1,7,0,TRUE,FALSE
1970,G0100390,01039,m5_weight,1,7,0,TRUE,FALSE
1970,G0100390,01039,m6_weight,1,7,0,TRUE,FALSE
1970,G0100410,01041,m2_weight,1,7,0,TRUE,FALSE
1970,G0100410,01041,m4_weight,1,7,0,TRUE,FALSE
1970,G0100410,01041,m5_weight,1,7,0,TRUE,FALSE
1970,G0100410,01041,m6_weight,1,7,0,TRUE,FALSE
1970,G0100430,01043,m2_weight,1,3,0,TRUE,FALSE
1970,G0100430,01043,m4_weight,1,3,0,TRUE,FALSE
1970,G0100430,01043,m5_weight,1,3,0,TRUE,FALSE
1970,G0100430,01043,m6_weight,1,3,0,TRUE,FALSE
1970,G0100450,01045,m2_weight,1,7,0,TRUE,FALSE
1970,G0100450,01045,m4_weight,1,7,0,TRUE,FALSE
1970,G0100450,01045,m5_weight,1,7,0,TRUE,FALSE
1970,G0100450,01045,m6_weight,1,7,0,TRUE,FALSE
1970,G0100470,01047,m2_weight,1,5,0,TRUE,FALSE
1970,G0100470,01047,m4_weight,1,5,0,TRUE,FALSE
1970,G0100470,01047,m5_weight,1,5,0,TRUE,FALSE
1970,G0100470,01047,m6_weight,1,5,0,TRUE,FALSE
1970,G0100490,01049,m2_weight,1,5,0,TRUE,FALSE
1970,G0100490,01049,m4_weight,1,5,0,TRUE,FALSE
1970,G0100490,01049,m5_weight,1,5,0,TRUE,FALSE
1970,G0100490,01049,m6_weight,1,5,0,TRUE,FALSE
1970,G0100510,01051,m2_weight,1,7,0,TRUE,FALSE
1970,G0100510,01051,m4_weight,1,7,0,TRUE,FALSE
1970,G0100510,01051,m5_weight,1,7,0,TRUE,FALSE
1970,G0100510,01051,m6_weight,1,7,0,TRUE,FALSE
1970,G0100530,01053,m2_weight,1,3,0,TRUE,FALSE
1970,G0100530,01053,m4_weight,1,3,0,TRUE,FALSE
1970,G0100530,01053,m5_weight,1,3,0,TRUE,FALSE
1970,G0100530,01053,m6_weight,1,3,0,TRUE,FALSE
1970,G0100550,01055,m2_weight,1,3,0,TRUE,FALSE
1970,G0100550,01055,m4_weight,1,3,0,TRUE,FALSE
1970,G0100550,01055,m5_weight,1,3,0,TRUE,FALSE
1970,G0100550,01055,m6_weight,1,3,0,TRUE,FALSE
1970,G0100570,01057,m2_weight,1,5,0,TRUE,FALSE
1970,G0100570,01057,m4_weight,1,5,0,TRUE,FALSE
1970,G0100570,01057,m5_weight,1,5,0,TRUE,FALSE
1970,G0100570,01057,m6_weight,1,5,0,TRUE,FALSE
1970,G0100590,01059,m2_weight,1,1,0,TRUE,FALSE
1970,G0100590,01059,m4_weight,1,1,0,TRUE,FALSE
1970,G0100590,01059,m5_weight,1,1,0,TRUE,FALSE
1970,G0100590,01059,m6_weight,1,1,0,TRUE,FALSE
1970,G0100610,01061,m2_weight,1,3,0,TRUE,FALSE
1970,G0100610,01061,m4_weight,1,3,0,TRUE,FALSE
1970,G0100610,01061,m5_weight,1,3,0,TRUE,FALSE
1970,G0100610,01061,m6_weight,1,3,0,TRUE,FALSE
1970,G0100630,01063,m2_weight,1,7,0,TRUE,FALSE
1970,G0100630,01063,m4_weight,1,7,0,TRUE,FALSE
1970,G0100630,01063,m5_weight,1,7,0,TRUE,FALSE
1970,G0100630,01063,m6_weight,1,7,0,TRUE,FALSE
1970,G0100650,01065,m2_weight,1,3,0,TRUE,FALSE
1970,G0100650,01065,m4_weight,1,3,0,TRUE,FALSE
1970,G0100650,01065,m5_weight,1,3,0,TRUE,FALSE
1970,G0100650,01065,m6_weight,1,3,0,TRUE,FALSE
1970,G0100670,01067,m2_weight,1,5,0,TRUE,FALSE
1970,G0100670,01067,m4_weight,1,5,0,TRUE,FALSE
1970,G0100670,01067,m5_weight,1,5,0,TRUE,FALSE
1970,G0100670,01067,m6_weight,1,5,0,TRUE,FALSE
1970,G0100690,01069,m2_weight,1,3,0,TRUE,FALSE
1970,G0100690,01069,m4_weight,1,3,0,TRUE,FALSE
1970,G0100690,01069,m5_weight,1,3,0,TRUE,FALSE
1970,G0100690,01069,m6_weight,1,3,0,TRUE,FALSE
1970,G0100710,01071,m2_weight,1,5,0,TRUE,FALSE
1970,G0100710,01071,m4_weight,1,5,0,TRUE,FALSE
1970,G0100710,01071,m5_weight,1,5,0,TRUE,FALSE
1970,G0100710,01071,m6_weight,1,5,0,TRUE,FALSE
1970,G0100730,01073,m2_weight,1,9,0,TRUE,FALSE
1970,G0100730,01073,m4_weight,1,9,0,TRUE,FALSE
1970,G0100730,01073,m5_weight,1,9,0,TRUE,FALSE
1970,G0100730,01073,m6_weight,1,9,0,TRUE,FALSE
1970,G0100750,01075,m2_weight,1,1,0,TRUE,FALSE
1970,G0100750,01075,m4_weight,1,1,0,TRUE,FALSE
1970,G0100750,01075,m5_weight,1,1,0,TRUE,FALSE
1970,G0100750,01075,m6_weight,1,1,0,TRUE,FALSE
1970,G0100770,01077,m2_weight,1,1,0,TRUE,FALSE
1970,G0100770,01077,m4_weight,1,1,0,TRUE,FALSE
1970,G0100770,01077,m5_weight,1,1,0,TRUE,FALSE
1970,G0100770,01077,m6_weight,1,1,0,TRUE,FALSE
1970,G0100790,01079,m2_weight,1,3,0,TRUE,FALSE
1970,G0100790,01079,m4_weight,1,3,0,TRUE,FALSE
1970,G0100790,01079,m5_weight,1,3,0,TRUE,FALSE
1970,G0100790,01079,m6_weight,1,3,0,TRUE,FALSE
1970,G0100810,01081,m2_weight,1,5,0,TRUE,FALSE
1970,G0100810,01081,m4_weight,1,5,0,TRUE,FALSE
1970,G0100810,01081,m5_weight,1,5,0,TRUE,FALSE
1970,G0100810,01081,m6_weight,1,5,0,TRUE,FALSE
1970,G0100830,01083,m2_weight,1,1,0,TRUE,FALSE
1970,G0100830,01083,m4_weight,1,1,0,TRUE,FALSE
1970,G0100830,01083,m5_weight,1,1,0,TRUE,FALSE
1970,G0100830,01083,m6_weight,1,1,0,TRUE,FALSE
1970,G0100850,01085,m2_weight,1,3,0,TRUE,FALSE
1970,G0100850,01085,m4_weight,1,3,0,TRUE,FALSE
1970,G0100850,01085,m5_weight,1,3,0,TRUE,FALSE
1970,G0100850,01085,m6_weight,1,3,0,TRUE,FALSE
1970,G0100870,01087,m2_weight,1,3,0,TRUE,FALSE
1970,G0100870,01087,m4_weight,1,3,0,TRUE,FALSE
1970,G0100870,01087,m5_weight,1,3,0,TRUE,FALSE
1970,G0100870,01087,m6_weight,1,3,0,TRUE,FALSE
1970,G0100890,01089,m2_weight,1,5,0,TRUE,FALSE
1970,G0100890,01089,m4_weight,1,5,0,TRUE,FALSE
1970,G0100890,01089,m5_weight,1,5,0,TRUE,FALSE
1970,G0100890,01089,m6_weight,1,5,0,TRUE,FALSE
1970,G0100910,01091,m2_weight,1,7,0,TRUE,FALSE
1970,G0100910,01091,m4_weight,1,7,0,TRUE,FALSE
1970,G0100910,01091,m5_weight,1,7,0,TRUE,FALSE
1970,G0100910,01091,m6_weight,1,7,0,TRUE,FALSE
1970,G0100930,01093,m2_weight,1,3,0,TRUE,FALSE
1970,G0100930,01093,m4_weight,1,3,0,TRUE,FALSE
1970,G0100930,01093,m5_weight,1,3,0,TRUE,FALSE
1970,G0100930,01093,m6_weight,1,3,0,TRUE,FALSE
1970,G0100950,01095,m2_weight,1,7,0,TRUE,FALSE
1970,G0100950,01095,m4_weight,1,7,0,TRUE,FALSE
1970,G0100950,01095,m5_weight,1,7,0,TRUE,FALSE
1970,G0100950,01095,m6_weight,1,7,0,TRUE,FALSE
1970,G0100970,01097,m2_weight,1,3,0,TRUE,FALSE
1970,G0100970,01097,m4_weight,1,3,0,TRUE,FALSE
1970,G0100970,01097,m5_weight,1,3,0,TRUE,FALSE
1970,G0100970,01097,m6_weight,1,3,0,TRUE,FALSE
1970,G0100990,01099,m2_weight,1,5,0,TRUE,FALSE
1970,G0100990,01099,m4_weight,1,5,0,TRUE,FALSE
1970,G0100990,01099,m5_weight,1,5,0,TRUE,FALSE
1970,G0100990,01099,m6_weight,1,5,0,TRUE,FALSE
1970,G0101010,01101,m2_weight,1,9,0,TRUE,FALSE
1970,G0101010,01101,m4_weight,1,9,0,TRUE,FALSE
1970,G0101010,01101,m5_weight,1,9,0,TRUE,FALSE
1970,G0101010,01101,m6_weight,1,9,0,TRUE,FALSE
1970,G0101030,01103,m2_weight,1,1,0,TRUE,FALSE
1970,G0101030,01103,m4_weight,1,1,0,TRUE,FALSE
1970,G0101030,01103,m5_weight,1,1,0,TRUE,FALSE
1970,G0101030,01103,m6_weight,1,1,0,TRUE,FALSE
1970,G0101050,01105,m2_weight,1,1,0,TRUE,FALSE
1970,G0101050,01105,m4_weight,1,1,0,TRUE,FALSE
1970,G0101050,01105,m5_weight,1,1,0,TRUE,FALSE
1970,G0101050,01105,m6_weight,1,1,0,TRUE,FALSE
1970,G0101070,01107,m2_weight,1,5,0,TRUE,FALSE
1970,G0101070,01107,m4_weight,1,5,0,TRUE,FALSE
1970,G0101070,01107,m5_weight,1,5,0,TRUE,FALSE
1970,G0101070,01107,m6_weight,1,5,0,TRUE,FALSE
1970,G0101090,01109,m2_weight,1,3,0,TRUE,FALSE
1970,G0101090,01109,m4_weight,1,3,0,TRUE,FALSE
1970,G0101090,01109,m5_weight,1,3,0,TRUE,FALSE
1970,G0101090,01109,m6_weight,1,3,0,TRUE,FALSE
1970,G0101110,01111,m2_weight,1,5,0,TRUE,FALSE
1970,G0101110,01111,m4_weight,1,5,0,TRUE,FALSE
1970,G0101110,01111,m5_weight,1,5,0,TRUE,FALSE
1970,G0101110,01111,m6_weight,1,5,0,TRUE,FALSE
1970,G0101130,01113,m2_weight,1,5,0,TRUE,FALSE
1970,G0101130,01113,m4_weight,1,5,0,TRUE,FALSE
1970,G0101130,01113,m5_weight,1,5,0,TRUE,FALSE
1970,G0101130,01113,m6_weight,1,5,0,TRUE,FALSE
1970,G0101150,01115,m2_weight,1,5,0,TRUE,FALSE
1970,G0101150,01115,m4_weight,1,5,0,TRUE,FALSE
1970,G0101150,01115,m5_weight,1,5,0,TRUE,FALSE
1970,G0101150,01115,m6_weight,1,5,0,TRUE,FALSE
1970,G0101170,01117,m2_weight,1,5,0,TRUE,FALSE
1970,G0101170,01117,m4_weight,1,5,0,TRUE,FALSE
1970,G0101170,01117,m5_weight,1,5,0,TRUE,FALSE
1970,G0101170,01117,m6_weight,1,5,0,TRUE,FALSE
1970,G0101190,01119,m2_weight,1,5,0,TRUE,FALSE
1970,G0101190,01119,m4_weight,1,5,0,TRUE,FALSE
1970,G0101190,01119,m5_weight,1,5,0,TRUE,FALSE
1970,G0101190,01119,m6_weight,1,5,0,TRUE,FALSE
1970,G0101210,01121,m2_weight,1,7,0,TRUE,FALSE
1970,G0101210,01121,m4_weight,1,7,0,TRUE,FALSE
1970,G0101210,01121,m5_weight,1,7,0,TRUE,FALSE
1970,G0101210,01121,m6_weight,1,7,0,TRUE,FALSE
1970,G0101230,01123,m2_weight,1,7,0,TRUE,FALSE
1970,G0101230,01123,m4_weight,1,7,0,TRUE,FALSE
1970,G0101230,01123,m5_weight,1,7,0,TRUE,FALSE
1970,G0101230,01123,m6_weight,1,7,0,TRUE,FALSE
1970,G0101250,01125,m2_weight,1,3,0,TRUE,FALSE
1970,G0101250,01125,m4_weight,1,3,0,TRUE,FALSE
1970,G0101250,01125,m5_weight,1,3,0,TRUE,FALSE
1970,G0101250,01125,m6_weight,1,3,0,TRUE,FALSE
1970,G0101270,01127,m2_weight,1,7,0,TRUE,FALSE
1970,G0101270,01127,m4_weight,1,7,0,TRUE,FALSE
1970,G0101270,01127,m5_weight,1,7,0,TRUE,FALSE
1970,G0101270,01127,m6_weight,1,7,0,TRUE,FALSE
1970,G0101290,01129,m2_weight,1,5,0,TRUE,FALSE
1970,G0101290,01129,m4_weight,1,5,0,TRUE,FALSE
1970,G0101290,01129,m5_weight,1,5,0,TRUE,FALSE
1970,G0101290,01129,m6_weight,1,5,0,TRUE,FALSE
1970,G0101310,01131,m2_weight,1,5,0,TRUE,FALSE
1970,G0101310,01131,m4_weight,1,5,0,TRUE,FALSE
1970,G0101310,01131,m5_weight,1,5,0,TRUE,FALSE
1970,G0101310,01131,m6_weight,1,5,0,TRUE,FALSE
1970,G0101330,01133,m2_weight,1,5,0,TRUE,FALSE
1970,G0101330,01133,m4_weight,1,5,0,TRUE,FALSE
1970,G0101330,01133,m5_weight,1,5,0,TRUE,FALSE
1970,G0101330,01133,m6_weight,1,5,0,TRUE,FALSE
1970,G0200100,02010,m2_weight,NA,3,3,FALSE,TRUE
1970,G0200100,02010,m4_weight,NA,3,3,FALSE,TRUE
1970,G0200100,02010,m5_weight,NA,3,3,FALSE,TRUE
