year,source_counties,source_two_party_votes_prejoin,source_rep_votes_prejoin,source_dem_votes_prejoin,source_two_party_votes_after_join_naive_for_diagnostic_only,matched_source_counties,bridged_two_party_votes,bridged_rep_votes,bridged_dem_votes,fallback_source_counties,source_two_party_votes_prejoin_adh_mainland_eligible,source_two_party_votes_prejoin_excluded_nonmainland,bridged_two_party_votes_adh_mainland_eligible,bridged_two_party_votes_excluded_nonmainland,retained_vote_share_adh_mainland_eligible,retained_vote_share_excluded_nonmainland,unmatched_source_counties,retained_vote_share_correct,retained_vote_share
1952,3098,60656890,33775055,26881835,95719056,3093,60633170.01294962,33763504.00807296,26869666.00487666,256,60656890,NA,60633170.01294962,NA,0.999608948182962,NA,5,0.999608948182962,0.999608948182962
1956,3100,61618950,35594797,26024153,96980232,3096,61593386.01466358,35582294.00954984,26011092.005113732,256,61618950,NA,61593386.01466358,NA,0.9995851278651061,NA,4,0.9995851278651061,0.9995851278651061
1960,3105,68237274,34061318,34175956,107418772,3097,68026176.01694094,33957123.00933672,34069053.00760422,257,68052569,184705,68026176.01694094,0,0.9996121677190605,0,8,0.996906412424109,0.996906412424109
1964,3107,70447870,27154933,43292937,111760560,3102,70236473.01824819,27108914.007691093,43127559.010557085,257,70240599,207271,70236473.01824819,0,0.9999412593028739,0,5,0.9969992423936761,0.9969992423936761
1968,3111,63174774,31752894,31421880,100227787,3106,62937086.018229775,31658300.010181636,31278786.008048136,258,62942025,232749,62937086.018229775,0,0.9999215312540354,0,5,0.9962376124721836,0.9962376124721836
1972,3110,76242330,47107388,29134942,122051255,3106,75972056.02320872,46938523.01498703,29033533.00822169,258,75972056,270274,75972056.02320872,0,1.0000000003054903,0,4,0.9964550666697716,0.9964550666697716
1976,3113,79864901,39077078,40787823,129433417,3109,79577523.02365981,38937075.01214821,40640448.0115116,258,79577523,287378,79577523.02365981,0,1.0000000002973177,0,4,0.996401698709422,0.996401698709422
1980,3112,79255320,43817090,35438230,129097058,3108,78989377.99482983,43687004.99734752,35302372.997482315,221,78989378,265942,78989377.99482983,0,0.999999999934546,0,4,0.9966444901721403,0.9966444901721403
1984,3114,91833271,54318945,37514326,148606758,3110,91501133.99448453,54133945.99749004,37367187.99699449,221,91501134,332137,91501133.99448453,0,0.9999999999397223,0,4,0.9963832606429159,0.9963832606429159
1988,3114,90504238,48767346,41736892,146252865,3110,90153248.99588303,48608720.999642015,41544527.996241026,221,90153249,350989,90153248.99588303,0,0.9999999999543336,0,4,0.996121850071629,0.996121850071629
1992,3115,83834134,39002574,44831560,83834134,3115,83834134,39002574,44831560,0,83517930,316204,83517930,316204,1,1,0,1,1
1996,3114,86395813,39076022,47319791,86395813,3114,86395813,39076022,47319791,0,86076799,319014,86076799,319014,1,1,0,1,1
2000,3114,101225791,50294999,50930792,164542091,3109,100882688.99654739,50157168.99988431,50725519.99666307,196,100882689,343102,100882688.99654739,0,0.9999999999657759,0,5,0.9966105278105201,0.9966105278105201
2004,3114,120764365,61848622,58915743,196356425,3109,120338873.99596131,61654492.00028665,58684381.995674655,196,120338874,425491,120338873.99596131,0,0.999999999966439,0,5,0.996476684127485,0.996476684127485
2008,3114,129131439,59756352,69375087,210100169,3109,128685777.9956541,59635916.000787355,69049861.99486674,196,128685778,445661,128685777.9956541,0,0.9999999999662287,0,5,0.9965487800043342,0.9965487800043342
2012,3114,126528743,60757548,65771195,793718543,3109,126101512.73280591,60636608.89986955,65464903.83293636,183,126101513,427230,126101512.73280591,0,0.999999997881119,0,5,0.9966234528450655,0.9966234528450655
2016,3113,127605841,62508031,65097810,800003942,3108,127210087.72915393,62379182.90502385,64830904.82413009,183,127210088,395753,127210087.72915393,0,0.9999999978708759,0,5,0.9968986273062056,0.9968986273062056
2020,3113,155129917,74018305,81111612,973847816,3108,154566898.9633658,73821439.99419554,80745458.96917024,184,154566899,563018,154566898.9633658,0,0.999999999762988,0,5,0.9963706675828737,0.9963706675828737
