crosswalk_slug,crosswalk_specification,crosswalk_weight,crosswalk_missing_weight_policy,status,error_message,started_at,finished_at
m5,M5 + fallback M2,m5_weight,fallback_m2,completed,NA,2026-05-08 04:24:46 CDT,2026-05-08 04:26:52 CDT
m6,M6 + fallback M2,m6_weight,fallback_m2,completed,NA,2026-05-08 04:26:52 CDT,2026-05-08 04:28:12 CDT
m2,Pure M2,m2_weight,fallback_m2,completed,NA,2026-05-08 04:28:12 CDT,2026-05-08 04:29:30 CDT
m4,M4 + fallback M2,m4_weight,fallback_m2,completed,NA,2026-05-08 04:29:30 CDT,2026-05-08 04:30:47 CDT
