module,outcome,spec,status,n_coefficients
alternative_political_outcomes,rep_margin,minimal,ok,12
alternative_political_outcomes,rep_margin,core_controls,ok,12
alternative_political_outcomes,rep_margin,full_controls,ok,12
alternative_political_outcomes,rep_2party_share,minimal,ok,12
alternative_political_outcomes,rep_2party_share,core_controls,ok,12
alternative_political_outcomes,rep_2party_share,full_controls,ok,12
alternative_political_outcomes,dem_2party_share,minimal,ok,12
alternative_political_outcomes,dem_2party_share,core_controls,ok,12
alternative_political_outcomes,dem_2party_share,full_controls,ok,12
alternative_political_outcomes,two_party_votes_per_1990_pop,minimal,ok,12
alternative_political_outcomes,two_party_votes_per_1990_pop,core_controls,ok,12
alternative_political_outcomes,two_party_votes_per_1990_pop,full_controls,ok,12
alternative_political_outcomes,total_votes_per_1990_pop,minimal,ok,12
alternative_political_outcomes,total_votes_per_1990_pop,core_controls,ok,12
alternative_political_outcomes,total_votes_per_1990_pop,full_controls,ok,12
alternative_political_outcomes,rep_votes_per_1990_pop,minimal,ok,12
alternative_political_outcomes,rep_votes_per_1990_pop,core_controls,ok,12
alternative_political_outcomes,rep_votes_per_1990_pop,full_controls,ok,12
alternative_political_outcomes,dem_votes_per_1990_pop,minimal,ok,12
alternative_political_outcomes,dem_votes_per_1990_pop,core_controls,ok,12
alternative_political_outcomes,dem_votes_per_1990_pop,full_controls,ok,12
alternative_political_outcomes,rep_margin_swing,minimal,ok,11
alternative_political_outcomes,rep_margin_swing,core_controls,ok,11
alternative_political_outcomes,rep_margin_swing,full_controls,ok,11
alternative_political_outcomes,rep_2party_share_swing,minimal,ok,11
alternative_political_outcomes,rep_2party_share_swing,core_controls,ok,11
alternative_political_outcomes,rep_2party_share_swing,full_controls,ok,11
