sample,spec,se_type,eigen_index,eigenvalue
main_1972_start,minimal_full_panel,conley_250km,1,2.9067202553516297e-4
main_1972_start,minimal_full_panel,conley_250km,2,3.603981338920329e-5
main_1972_start,minimal_full_panel,conley_250km,3,1.0416614964757079e-5
main_1972_start,minimal_full_panel,conley_250km,4,8.497010622055653e-6
main_1972_start,minimal_full_panel,conley_250km,5,2.2165171295687857e-6
main_1972_start,minimal_full_panel,conley_250km,6,1.8521466477720059e-6
main_1972_start,minimal_full_panel,conley_250km,7,1.0738655054804213e-6
main_1972_start,minimal_full_panel,conley_250km,8,5.550744542190273e-7
main_1972_start,minimal_full_panel,conley_250km,9,3.8434208431798056e-7
main_1972_start,minimal_full_panel,conley_250km,10,3.1684768782046286e-7
main_1972_start,minimal_full_panel,conley_250km,11,9.112508509181463e-8
main_1972_start,minimal_full_panel,conley_250km,12,8.366316676711944e-8
main_1972_start,minimal_full_panel,conley_500km,1,4.6778798542956667e-4
main_1972_start,minimal_full_panel,conley_500km,2,3.6756583423386085e-5
main_1972_start,minimal_full_panel,conley_500km,3,9.038953787912854e-6
main_1972_start,minimal_full_panel,conley_500km,4,3.3646364172424105e-6
main_1972_start,minimal_full_panel,conley_500km,5,1.6617220027488052e-6
main_1972_start,minimal_full_panel,conley_500km,6,1.2799137839836676e-6
main_1972_start,minimal_full_panel,conley_500km,7,1.054882172868376e-6
main_1972_start,minimal_full_panel,conley_500km,8,3.1542626313994055e-7
main_1972_start,minimal_full_panel,conley_500km,9,1.262024859343979e-7
main_1972_start,minimal_full_panel,conley_500km,10,6.980799585488817e-8
main_1972_start,minimal_full_panel,conley_500km,11,-8.338437196605398e-8
main_1972_start,minimal_full_panel,conley_500km,12,-5.694662959980063e-6
main_1972_start,minimal_full_panel,conley_750km,1,5.329694271927753e-4
main_1972_start,minimal_full_panel,conley_750km,2,2.8131069194404596e-5
main_1972_start,minimal_full_panel,conley_750km,3,5.939009314168931e-6
main_1972_start,minimal_full_panel,conley_750km,4,2.662118677015336e-6
main_1972_start,minimal_full_panel,conley_750km,5,1.786924087079728e-6
main_1972_start,minimal_full_panel,conley_750km,6,7.047300535698514e-7
main_1972_start,minimal_full_panel,conley_750km,7,5.572338219200201e-7
main_1972_start,minimal_full_panel,conley_750km,8,1.1618704060599375e-7
main_1972_start,minimal_full_panel,conley_750km,9,-7.470820776881313e-8
main_1972_start,minimal_full_panel,conley_750km,10,-1.661995302721401e-7
main_1972_start,minimal_full_panel,conley_750km,11,-9.442428452454598e-7
main_1972_start,minimal_full_panel,conley_750km,12,-4.142522177504536e-6
main_1972_start,minimal_full_panel,conley_1000km,1,6.20942260170604e-4
main_1972_start,minimal_full_panel,conley_1000km,2,2.1542688082431746e-5
main_1972_start,minimal_full_panel,conley_1000km,3,7.065812486634845e-6
main_1972_start,minimal_full_panel,conley_1000km,4,1.6260513590266888e-6
main_1972_start,minimal_full_panel,conley_1000km,5,1.2451149641161115e-6
main_1972_start,minimal_full_panel,conley_1000km,6,5.68288492648358e-7
main_1972_start,minimal_full_panel,conley_1000km,7,3.503815209056807e-7
main_1972_start,minimal_full_panel,conley_1000km,8,5.376748632734527e-8
main_1972_start,minimal_full_panel,conley_1000km,9,-9.00628702952055e-8
main_1972_start,minimal_full_panel,conley_1000km,10,-2.5861454649984323e-7
main_1972_start,minimal_full_panel,conley_1000km,11,-1.5149725478925353e-6
main_1972_start,minimal_full_panel,conley_1000km,12,-7.2837246191281754e-6
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,1,0.0013235869612598745
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,2,3.5243970446441147e-4
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,3,2.3851532537410192e-4
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,4,1.476799781205089e-4
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,5,1.2629587963384196e-4
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,6,1.0023814205903736e-4
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,7,9.795360845490631e-5
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,8,9.661459080181225e-5
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,9,9.094193998801941e-5
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,10,8.316296617061492e-5
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,11,7.715164867639631e-5
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,12,7.185340496082234e-5
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,13,7.024886899957061e-5
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,14,6.816867192306413e-5
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,15,6.200055779445989e-5
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,16,5.6647415927346135e-5
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,17,4.3414464898857585e-5
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,18,3.474760851364961e-5
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,19,3.3148769623119095e-5
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,20,3.125437236237752e-5
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,21,2.8503838090108843e-5
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,22,2.5731674998673226e-5
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,23,2.330389697195384e-5
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,24,2.3042287590563503e-5
