year,source_counties,source_two_party_votes_prejoin,source_rep_votes_prejoin,source_dem_votes_prejoin,source_two_party_votes_after_join_naive_for_diagnostic_only,matched_source_counties,bridged_two_party_votes,bridged_rep_votes,bridged_dem_votes,fallback_source_counties,source_two_party_votes_prejoin_adh_mainland_eligible,source_two_party_votes_prejoin_excluded_nonmainland,bridged_two_party_votes_adh_mainland_eligible,bridged_two_party_votes_excluded_nonmainland,retained_vote_share_adh_mainland_eligible,retained_vote_share_excluded_nonmainland,unmatched_source_counties,retained_vote_share_correct,retained_vote_share
1952,3098,60656890,33775055,26881835,95719056,3093,60633170.018210575,33763504.01033952,26869666.007871065,0,60656890,NA,60633170.018210575,NA,0.9996089482696949,NA,5,0.9996089482696949,0.9996089482696949
1956,3100,61618950,35594797,26024153,96980232,3096,61593386.02125661,35582294.012353286,26011092.008903343,0,61618950,NA,61593386.02125661,NA,0.9995851279721029,NA,4,0.9995851279721029,0.9995851279721029
1960,3105,68237274,34061318,34175956,107418772,3097,68026176.02829856,33957123.01506245,34069053.0132361,0,68052569,184705,68026176.02829856,0,0.9996121678859553,0,8,0.9969064125905521,0.9969064125905521
1964,3107,70447870,27154933,43292937,111760560,3102,70236473.03461187,27108914.014076952,43127559.02053492,0,70240599,207271,70236473.03461187,0,0.99994125953584,0,5,0.9969992426259568,0.9969992426259568
1968,3111,63174774,31752894,31421880,100227787,3106,62937086.03524641,31658300.017891735,31278786.01735467,0,62942025,232749,62937086.03524641,0,0.9999215315243895,0,5,0.9962376127415415,0.9962376127415415
1972,3110,76242330,47107388,29134942,122051255,3106,75972056.04586253,46938523.02640644,29033533.019456066,0,75972056,270274,75972056.04586253,0,1.0000000006036762,0,4,0.9964550669669004,0.9964550669669004
1976,3113,79864901,39077078,40787823,129433417,3109,79577523.04628843,38937075.02399758,40640448.02229087,0,79577523,287378,79577523.04628843,0,1.0000000005816772,0,4,0.9964016989927582,0.9964016989927582
1980,3112,79255320,43817090,35438230,129097058,3108,78989377.97702305,43687004.98404346,35302372.99297959,0,78989378,265942,78989377.97702305,0,0.9999999997091135,0,4,0.9966444899474641,0.9966444899474641
1984,3114,91833271,54318945,37514326,148606758,3110,91501133.97079508,54133945.98059793,37367187.99019713,0,91501134,332137,91501133.97079508,0,0.9999999996808245,0,4,0.9963832603849544,0.9963832603849544
1988,3114,90504238,48767346,41736892,146252865,3110,90153248.96906368,48608720.981543414,41544527.987520255,0,90153249,350989,90153248.96906368,0,0.9999999996568475,0,4,0.9961218497752965,0.9961218497752965
1992,3115,83834134,39002574,44831560,83834134,3115,83834134,39002574,44831560,0,83517930,316204,83517930,316204,1,1,0,1,1
1996,3114,86395813,39076022,47319791,86395813,3114,86395813,39076022,47319791,0,86076799,319014,86076799,319014,1,1,0,1,1
2000,3114,101225791,50294999,50930792,164542091,3109,100882688.98055224,50157168.991261415,50725519.98929082,0,100882689,343102,100882688.98055224,0,0.999999999807224,0,5,0.9966105276525055,0.9966105276525055
2004,3114,120764365,61848622,58915743,196356425,3109,120338873.97853254,61654491.99024158,58684381.98829098,0,120338874,425491,120338873.97853254,0,0.9999999998216083,0,5,0.9964766839831646,0.9964766839831646
2008,3114,129131439,59756352,69375087,210100169,3109,128685777.9775695,59635915.991456434,69049861.98611306,0,128685778,445661,128685777.9775695,0,0.9999999998256957,0,5,0.9965487798642862,0.9965487798642862
2012,3114,126528743,60757548,65771195,793718543,3109,126101513.08875205,60636609.001257084,65464904.08749517,0,126101513,427230,126101513.08875205,0,1.0000000007038143,0,5,0.9966234556582297,0.9966234556582297
2016,3113,127605841,62508031,65097810,800003942,3108,127210088.09173542,62379182.996022426,64830905.09571323,0,127210088,395753,127210088.09173542,0,1.0000000007211332,0,5,0.9968986301476233,0.9968986301476233
2020,3113,155129917,74018305,81111612,973847816,3108,154566898.871901,73821439.95558928,80745458.9163119,0,154566899,563018,154566898.871901,0,0.9999999991712392,0,5,0.9963706669932725,0.9963706669932725
