sample,spec,se_type,vcov_dim,vcov_rank,vcov_rank_deficiency,min_diag,max_diag,median_diag
main_1972_start,interacted_controls_full_panel_raw_controls_diagnostic,conley_1000km,84,84,0,-6.018346195081914e-4,0.004225749299166973,5.711329761711025e-6
diagnostic_1952_start,minimal_full_panel,heteroskedastic,17,17,0,4.160752308204423e-6,4.488175624039e-5,1.595460997429785e-5
diagnostic_1952_start,minimal_full_panel,cluster_cz,17,17,0,1.5492953270972439e-6,4.725105668416377e-5,1.4815470605104265e-5
diagnostic_1952_start,minimal_full_panel,cluster_state,17,17,0,2.726787993071723e-6,7.692955878474007e-5,2.4195553717445733e-5
diagnostic_1952_start,minimal_full_panel,cluster_cz_year,17,17,0,-2.838638634807351e-6,5.124030555260472e-6,3.696810487001919e-7
diagnostic_1952_start,minimal_full_panel,newey_west_lag1,17,17,0,3.069908912685973e-6,4.75182028958678e-5,1.6891816572918622e-5
diagnostic_1952_start,minimal_full_panel,driscoll_kraay_lag1,17,17,0,1.0734501007252873e-32,1.4732294237930445e-32,1.1039711998766119e-32
diagnostic_1952_start,minimal_full_panel,conley_250km,17,17,0,3.5904412773313606e-6,7.592797193134746e-5,2.605172508375489e-5
diagnostic_1952_start,minimal_full_panel,conley_500km,17,17,0,3.661292111179037e-6,1.1490275679756222e-4,2.82460248967801e-5
diagnostic_1952_start,minimal_full_panel,conley_750km,17,17,0,4.791229376705408e-6,1.3019743201868984e-4,2.993330064423622e-5
diagnostic_1952_start,minimal_full_panel,conley_1000km,17,17,0,1.942176475544446e-6,1.5628099502609086e-4,3.3859488898675344e-5
diagnostic_1952_start,interacted_core_controls_diagnostic,heteroskedastic,68,68,0,5.589849206493476e-6,5.342210736430811e-4,7.278958853268066e-5
diagnostic_1952_start,interacted_core_controls_diagnostic,cluster_cz,68,68,0,1.2906261843998123e-6,5.934111233691745e-4,3.745569994180013e-5
diagnostic_1952_start,interacted_core_controls_diagnostic,cluster_state,68,48,20,1.6456926190406538e-6,0.0010590377133336216,6.700859808351196e-5
diagnostic_1952_start,interacted_core_controls_diagnostic,cluster_cz_year,68,68,0,-1.150235021003263e-4,1.0071417531908458e-4,6.725663260630116e-7
diagnostic_1952_start,interacted_core_controls_diagnostic,newey_west_lag1,68,68,0,3.681791304738316e-6,5.656023180699963e-4,6.534792681619383e-5
diagnostic_1952_start,interacted_core_controls_diagnostic,driscoll_kraay_lag1,68,46,22,4.8071156267152494e-30,1.6779310119011668e-28,3.7417244047456345e-29
diagnostic_1952_start,interacted_core_controls_diagnostic,conley_250km,68,68,0,1.6356870336622798e-6,0.0016301535599461266,6.323916333373537e-5
diagnostic_1952_start,interacted_core_controls_diagnostic,conley_500km,68,68,0,3.447672079117353e-7,0.0025699397093995706,7.659905508257251e-5
diagnostic_1952_start,interacted_core_controls_diagnostic,conley_750km,68,68,0,-1.4195243747043027e-5,0.0021191704707133013,8.949870446758534e-5
diagnostic_1952_start,interacted_core_controls_diagnostic,conley_1000km,68,68,0,-2.8884747694422844e-6,6.663114499547683e-4,6.317718220481922e-5
diagnostic_1952_start,interacted_controls_full_panel,heteroskedastic,119,119,0,4.550334226047335e-6,8.81029127514085e-4,1.8891030659479074e-4
diagnostic_1952_start,interacted_controls_full_panel,cluster_cz,119,119,0,1.311093370881794e-6,0.0011031861673943871,1.675740600559366e-4
diagnostic_1952_start,interacted_controls_full_panel,cluster_state,119,47,72,1.592186127857159e-6,0.0020280648437998447,2.588648547178239e-4
diagnostic_1952_start,interacted_controls_full_panel,cluster_cz_year,119,119,0,-1.8416717089401633e-4,2.856022876535709e-4,3.468994769680842e-7
diagnostic_1952_start,interacted_controls_full_panel,newey_west_lag1,119,119,0,3.1431350791926254e-6,9.327825901941036e-4,1.9886717375526227e-4
diagnostic_1952_start,interacted_controls_full_panel,driscoll_kraay_lag1,119,49,70,8.192090005056808e-31,1.664788360135877e-27,2.200298201342268e-28
diagnostic_1952_start,interacted_controls_full_panel,conley_250km,119,119,0,1.8015531194100039e-6,0.001971921595610535,2.5855403437583413e-4
diagnostic_1952_start,interacted_controls_full_panel,conley_500km,119,119,0,1.5440321825963243e-6,0.0038347200587297244,2.8713189711841546e-4
diagnostic_1952_start,interacted_controls_full_panel,conley_750km,119,119,0,-8.764433570250516e-6,0.003962847725242794,2.537621727586975e-4
diagnostic_1952_start,interacted_controls_full_panel,conley_1000km,119,119,0,-9.735691740192923e-5,0.0032810662922375523,1.8451012023411027e-4
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,heteroskedastic,119,119,0,8.782617002340208e-7,0.005323069002895574,4.9843413922198145e-6
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,cluster_cz,119,119,0,2.692569382922573e-7,0.006665314356462114,5.088207709755532e-6
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,cluster_state,119,49,70,3.2321294801611437e-7,0.012253316909456373,9.331150320763435e-6
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,cluster_cz_year,119,119,0,-0.001112715264594571,0.0017255736922741117,7.458109648119816e-8
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,newey_west_lag1,119,119,0,6.575954173733022e-7,0.005635757022374647,5.202450253829192e-6
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,driscoll_kraay_lag1,119,63,56,5.905863378328532e-31,2.8908667571065913e-27,1.3434277351255694e-29
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,conley_250km,119,119,0,3.3937233525218077e-7,0.011693586493596338,1.0241844286478003e-5
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,conley_500km,119,119,0,3.552626747191928e-7,0.010694800554932339,1.3232596168558367e-5
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,conley_750km,119,119,0,-8.764433570267614e-6,0.010971869521188728,1.2992318688605225e-5
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,conley_1000km,119,119,0,-5.882184516469422e-4,0.005380214001331382,9.244045945560954e-6
