sample,spec,se_type,status,error_message,min_eigenvalue,max_eigenvalue,n_negative_eigenvalues,eigenvalue_ratio_abs_min_to_max,repair_required,vcov_repaired
main_1972_start,minimal_full_panel,heteroskedastic,ok,NA,2.232540557819216e-6,6.806769910265397e-5,0,0.03279882509988014,FALSE,FALSE
main_1972_start,minimal_full_panel,cluster_cz,ok,NA,8.853536410152896e-8,1.564243549847147e-4,0,5.659947526085715e-4,FALSE,FALSE
main_1972_start,minimal_full_panel,cluster_state,ok,NA,6.219201718746278e-8,2.7319467013420815e-4,0,2.276472566500315e-4,FALSE,FALSE
main_1972_start,minimal_full_panel,cluster_cz_year,repair_required,Unrepaired VCOV is not positive semidefinite.,-4.0273850807944603e-5,1.3671771465893095e-4,10,0.29457668238834733,TRUE,FALSE
main_1972_start,minimal_full_panel,newey_west_lag1,ok,NA,1.236086911441903e-6,8.177103164888906e-5,0,0.015116440217477633,FALSE,FALSE
main_1972_start,minimal_full_panel,driscoll_kraay_lag1,ok,NA,3.277091922105241e-37,2.4671862427131397e-31,0,1.3282709936406974e-6,FALSE,FALSE
main_1972_start,minimal_full_panel,conley_250km,ok,NA,8.359468803360531e-8,2.906801905409103e-4,0,2.875830233840452e-4,FALSE,FALSE
main_1972_start,minimal_full_panel,conley_500km,repair_required,Unrepaired VCOV is not positive semidefinite.,-5.6994338516383555e-6,4.678732751933029e-4,2,0.012181575981837436,TRUE,FALSE
main_1972_start,minimal_full_panel,conley_750km,repair_required,Unrepaired VCOV is not positive semidefinite.,-4.1397940941294255e-6,5.331631515279702e-4,4,0.007764591536878272,TRUE,FALSE
main_1972_start,minimal_full_panel,conley_1000km,repair_required,Unrepaired VCOV is not positive semidefinite.,-7.283284100063108e-6,6.211735964657142e-4,4,0.011725038123807489,TRUE,FALSE
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,ok,NA,6.859220517451302e-8,3.978673231819037e-5,0,0.001723996950188163,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,ok,NA,1.624706019637646e-9,4.544256289449457e-5,0,3.575295749515223e-5,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,cluster_state,ok,NA,-5.322723209363586e-22,6.144065561668058e-5,1,8.663194029977953e-18,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,repair_required,Unrepaired VCOV is not positive semidefinite.,-1.1027276691145334e-5,2.4174440203954176e-5,35,0.4561543761969561,TRUE,FALSE
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,ok,NA,4.6968438280287055e-8,4.186602177779049e-5,0,0.001121874882920052,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,driscoll_kraay_lag1,ok,NA,-8.508896032826163e-45,7.2838272082494e-29,17,1.1681902644792692e-16,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,conley_250km,repair_required,Unrepaired VCOV is not positive semidefinite.,-3.1755980991503184e-7,8.402428588560662e-5,7,0.003779381241601601,TRUE,FALSE
main_1972_start,interacted_core_controls_diagnostic,conley_500km,repair_required,Unrepaired VCOV is not positive semidefinite.,-3.723423701011366e-6,1.291450393417067e-4,18,0.028831333514557272,TRUE,FALSE
main_1972_start,interacted_core_controls_diagnostic,conley_750km,repair_required,Unrepaired VCOV is not positive semidefinite.,-8.605665168747397e-6,1.9503015442102876e-4,21,0.04412479287777002,TRUE,FALSE
main_1972_start,interacted_core_controls_diagnostic,conley_1000km,repair_required,Unrepaired VCOV is not positive semidefinite.,-7.949844227898145e-6,1.8711441508574274e-4,22,0.04248654078444588,TRUE,FALSE
main_1972_start,interacted_controls_full_panel,heteroskedastic,ok,NA,6.602723881240545e-8,0.0061678496534593626,0,1.0705066193591918e-5,FALSE,FALSE
main_1972_start,interacted_controls_full_panel,cluster_cz,ok,NA,8.578410938515426e-10,0.006931567062930364,0,1.2375860841615877e-7,FALSE,FALSE
main_1972_start,interacted_controls_full_panel,cluster_state,ok,NA,-1.2025041180510484e-18,0.010792065879772283,19,1.1142483111643326e-16,FALSE,FALSE
main_1972_start,interacted_controls_full_panel,cluster_cz_year,repair_required,Unrepaired VCOV is not positive semidefinite.,-0.001936777166481735,0.003620817972905657,63,0.534900450940785,TRUE,FALSE
main_1972_start,interacted_controls_full_panel,newey_west_lag1,ok,NA,4.032915631643112e-8,0.0067850625139615,0,5.943814995579857e-6,FALSE,FALSE
main_1972_start,interacted_controls_full_panel,driscoll_kraay_lag1,ok,NA,-3.621347521713747e-41,1.4341877529265842e-25,35,2.5250163476323613e-16,FALSE,FALSE
main_1972_start,interacted_controls_full_panel,conley_250km,repair_required,Unrepaired VCOV is not positive semidefinite.,-1.3811462926635094e-5,0.008696871602475481,24,0.0015880955311222248,TRUE,FALSE
main_1972_start,interacted_controls_full_panel,conley_500km,repair_required,Unrepaired VCOV is not positive semidefinite.,-7.093349081224023e-4,0.009915621372310994,36,0.07153711113891398,TRUE,FALSE
main_1972_start,interacted_controls_full_panel,conley_750km,repair_required,Unrepaired VCOV is not positive semidefinite.,-4.007341443046504e-4,0.012811000332474922,40,0.03128047255520082,TRUE,FALSE
main_1972_start,interacted_controls_full_panel,conley_1000km,repair_required,Unrepaired VCOV is not positive semidefinite.,-0.00286804968284629,0.012910184550113477,40,0.22215404216054221,TRUE,FALSE
diagnostic_1952_start,minimal_full_panel,heteroskedastic,ok,NA,1.986797317203603e-6,6.0642721135225814e-5,0,0.032762337837269694,FALSE,FALSE
diagnostic_1952_start,minimal_full_panel,cluster_cz,ok,NA,7.953349245041328e-8,2.1464981724312444e-4,0,3.705267186895816e-4,FALSE,FALSE
diagnostic_1952_start,minimal_full_panel,cluster_state,ok,NA,4.466192161826682e-8,3.380436652792376e-4,0,1.321187947165769e-4,FALSE,FALSE
diagnostic_1952_start,minimal_full_panel,cluster_cz_year,repair_required,Unrepaired VCOV is not positive semidefinite.,-3.847142825586606e-5,1.9865641048310065e-4,14,0.19365812642194474,TRUE,FALSE
diagnostic_1952_start,minimal_full_panel,newey_west_lag1,ok,NA,1.407340223516325e-6,8.252374680180614e-5,0,0.01705376062112492,FALSE,FALSE
diagnostic_1952_start,minimal_full_panel,driscoll_kraay_lag1,ok,NA,3.5596220725871825e-37,1.0023902117158325e-30,0,3.5511341102324125e-7,FALSE,FALSE
diagnostic_1952_start,minimal_full_panel,conley_250km,repair_required,Unrepaired VCOV is not positive semidefinite.,-7.579136691949223e-8,3.811816091377645e-4,1,1.9883269576130086e-4,TRUE,FALSE
diagnostic_1952_start,minimal_full_panel,conley_500km,repair_required,Unrepaired VCOV is not positive semidefinite.,-1.1168044370245168e-5,6.307115963566437e-4,4,0.017707054119122392,TRUE,FALSE
diagnostic_1952_start,minimal_full_panel,conley_750km,repair_required,Unrepaired VCOV is not positive semidefinite.,-2.3284694772377104e-5,7.00415502252891e-4,7,0.03324411680992458,TRUE,FALSE
diagnostic_1952_start,minimal_full_panel,conley_1000km,repair_required,Unrepaired VCOV is not positive semidefinite.,-1.5157638293534158e-5,7.613243651260651e-4,7,0.019909566786325376,TRUE,FALSE
diagnostic_1952_start,interacted_core_controls_diagnostic,heteroskedastic,ok,NA,1.0233464918420884e-7,7.431414243886034e-5,0,0.0013770548354023126,FALSE,FALSE
diagnostic_1952_start,interacted_core_controls_diagnostic,cluster_cz,ok,NA,1.295805759010257e-9,9.13742143482271e-5,0,1.4181306709483068e-5,FALSE,FALSE
diagnostic_1952_start,interacted_core_controls_diagnostic,cluster_state,ok,NA,-5.063480779936346e-21,1.1969927753424954e-4,11,4.230168205056654e-17,FALSE,FALSE
diagnostic_1952_start,interacted_core_controls_diagnostic,cluster_cz_year,repair_required,Unrepaired VCOV is not positive semidefinite.,-2.255040055950815e-5,6.148048927731299e-5,53,0.3667895429034835,TRUE,FALSE
diagnostic_1952_start,interacted_core_controls_diagnostic,newey_west_lag1,ok,NA,5.384131586194191e-8,7.896233760280828e-5,0,6.818607135565228e-4,FALSE,FALSE
diagnostic_1952_start,interacted_core_controls_diagnostic,driscoll_kraay_lag1,ok,NA,-1.6666239147881237e-44,1.6789441544772106e-28,24,9.926619121569752e-17,FALSE,FALSE
diagnostic_1952_start,interacted_core_controls_diagnostic,conley_250km,repair_required,Unrepaired VCOV is not positive semidefinite.,-1.4696996854240805e-6,1.778721361862316e-4,16,0.008262675183061327,TRUE,FALSE
diagnostic_1952_start,interacted_core_controls_diagnostic,conley_500km,repair_required,Unrepaired VCOV is not positive semidefinite.,-1.0327702531673065e-5,2.3486543436056147e-4,28,0.04397285006961965,TRUE,FALSE
diagnostic_1952_start,interacted_core_controls_diagnostic,conley_750km,repair_required,Unrepaired VCOV is not positive semidefinite.,-5.00482140215964e-5,2.501703682119597e-4,31,0.20005652299792945,TRUE,FALSE
diagnostic_1952_start,interacted_core_controls_diagnostic,conley_1000km,repair_required,Unrepaired VCOV is not positive semidefinite.,-2.0641666980129853e-5,2.1847612867187535e-4,33,0.09448019381161378,TRUE,FALSE
diagnostic_1952_start,interacted_controls_full_panel,heteroskedastic,ok,NA,1.0191165669731094e-7,0.010797951778648614,0,9.438054437215257e-6,FALSE,FALSE
diagnostic_1952_start,interacted_controls_full_panel,cluster_cz,ok,NA,6.017332321061773e-10,0.017035699894324893,0,3.532189671330338e-8,FALSE,FALSE
diagnostic_1952_start,interacted_controls_full_panel,cluster_state,ok,NA,-3.5884202313180965e-18,0.041335961269736834,37,8.681109912751141e-17,FALSE,FALSE
diagnostic_1952_start,interacted_controls_full_panel,cluster_cz_year,repair_required,Unrepaired VCOV is not positive semidefinite.,-0.0040377944487683965,0.01231330379846935,94,0.3279212886203887,TRUE,FALSE
diagnostic_1952_start,interacted_controls_full_panel,newey_west_lag1,ok,NA,4.222531210482823e-8,0.011927638297635816,0,3.5401234553866153e-6,FALSE,FALSE
diagnostic_1952_start,interacted_controls_full_panel,driscoll_kraay_lag1,ok,NA,-2.7485176533743494e-41,1.2528853945458397e-25,51,2.1937502546836406e-16,FALSE,FALSE
diagnostic_1952_start,interacted_controls_full_panel,conley_250km,repair_required,Unrepaired VCOV is not positive semidefinite.,-4.306554886225168e-5,0.03504622163050551,39,0.0012288214494644938,TRUE,FALSE
diagnostic_1952_start,interacted_controls_full_panel,conley_500km,repair_required,Unrepaired VCOV is not positive semidefinite.,-0.0011075335041246528,0.03441035942934312,54,0.0321860486926566,TRUE,FALSE
diagnostic_1952_start,interacted_controls_full_panel,conley_750km,repair_required,Unrepaired VCOV is not positive semidefinite.,-9.971313008082365e-4,0.03631832403911081,56,0.02745532254556781,TRUE,FALSE
diagnostic_1952_start,interacted_controls_full_panel,conley_1000km,repair_required,Unrepaired VCOV is not positive semidefinite.,-0.005518304957703025,0.02548769111599701,57,0.21650862499034032,TRUE,FALSE
