czone,year,reg_voters_pct,voter_turnout_pct,reg_voter_turnout_pct,pres_rep_ratio,pres_dem_ratio,partisan_index_dem,partisan_index_rep
700,2006,0.058094016130966875,0.3341087440890075,5.751173121441532,NA,NA,0.38154767167552406,0.618452308601688
3002,2004,0.37609591607343573,0.5963656800299738,1.5856744371388722,0.4815926370548219,0.5184073629451781,0,0
3102,2004,0.30922184320242574,0.6063442082859558,1.9608712049783141,0.67557270315891,0.32442729684108995,0,0
3202,2016,1.7673326905176412,0.6317268384238811,0.35744647389442674,0.5317530790297799,0.4682469209702202,0.49010569142029525,0.509894306261348
3203,2004,0.35781754279245026,0.5806424359169328,1.6227332829618435,0.468781862892101,0.531218137107899,0,0
4200,2008,0.8150641934690945,1.244205570367009,1.5265123659418693,0.5486658543693752,0.4513341456306248,0.6002214747692988,0.39977854247802097
4800,2006,0.020501962953899843,0.514911002117224,25.115204981837053,NA,NA,0.5907625051701146,0.4092374863766363
20600,2006,0.17228242602533494,0.46240339442095013,2.6839846935574934,NA,NA,0.4553918263291811,0.5446081739002747
20901,2018,5656.761395990121,3388.0392050046116,0.5989362053358435,NA,NA,0.6708299089511449,0.32917010319774026
20901,2020,3925.905233489127,2862.0330350890986,0.7290122570140294,0.3980488258282488,0.6019511741717511,0.641376331280161,0.3586236945068957
20901,2022,3926.931880956574,2004.0154491585988,0.5103260025662666,NA,NA,0.6325908426875149,0.36740917077627055
23801,2008,0.4238009287654429,0.6662753000963814,1.5721421423904864,0.41470619375330864,0.5852938062466914,0.5361499691274902,0.4638500195762029
23900,2010,1.6659146143899555,0.7616458589856162,0.45719381558131345,NA,NA,0.489703960497637,0.5102960167203129
23900,2020,2.973675135204388,0.6784225395864294,0.22814278922226644,0.5746653656812725,0.4253346343187276,0.4381883521472926,0.5618116576360421
24900,2004,0.28694935201784516,0.6219944439122521,2.1676105540519597,0.4963670741902363,0.5036329258097637,0,0
25000,2008,0.39274382314694406,0.5995405288253143,1.5265434960157165,0.60232516861909835,0.39767483138090165,0.39177723559120115,0.6082227825885893
26404,2006,0.40327920542330126,0.6249408797099164,1.5496481626270524,NA,NA,0.3843793232847105,0.6156206767152895
26404,2008,0.36874493927125507,0.7135222672064777,1.9350021958717611,0.6749939364540383,0.3250060635459617,0.4403066280399866,0.5596933816608429
26404,2010,0.3838056680161943,0.6136032388663968,1.59873417721519,NA,NA,0.3906210132455967,0.6093789867544032
26404,2012,0.397085020242915,0.6984615384615385,1.7589722675367048,0.7648787656135194,0.23512123438648053,0.3495755344025968,0.6504244564033334
26404,2014,0.3586484312148029,0.5863234111021721,1.6348138178555407,NA,NA,0.27637409514128647,0.7236258937098242
26404,2016,0.3787610619469027,0.6791633145615447,1.7931180968564147,0.8519668737060041,0.14803312629399587,0.20805868995542073,0.7919413069995662
26404,2018,0.38187205146701303,0.6347399969673148,1.6621797655232307,NA,NA,0.16092924479446244,0.45454532576635487
26404,2020,0.37938482577356747,0.713004698787736,1.8793706293706294,0.8336533845415266,0.16634661545847335,0.1923677430291774,0.8076322271685226
26411,2008,0.33481116584564863,0.5631636562671045,1.6820336766388753,0.6366287840691944,0.36337121593080557,0.5123571215037671,0.4876428662458073
26411,2012,0.34914151731824816,0.6395241950342271,1.8317048053935403,0.7041522057651253,0.2958477942348747,0.41356218641289333,0.5864378178614368
26411,2016,0.29468437043620227,0.5805189729396075,1.9699686552099887,0.7969392307960819,0.2030607692039182,0.25856742003974204,0.7414325994451328
26411,2018,0.28978522265822926,0.4997409751687969,1.72452194278446,NA,NA,0.3165349923451283,0.6834649893536744
26411,2020,0.3071878723708912,0.6211704675412869,2.0221191114970214,0.8043425400236088,0.19565745997639125,0.25986763516365036,0.7401323648383604
26702,2006,0.1383567280874217,0.4939417493484523,3.5700594844679445,NA,NA,0.5299257769963356,0.4700742148632529
26702,2008,0.14592152199762187,0.6166468489892984,4.225880052151239,0.5015971889474525,0.4984028110525475,0.5821199324411779,0.41788006808328587
26702,2010,0.13507317379461528,0.510870836462599,3.7821783712537957,NA,NA,0.49756541648961933,0.5024345718662071
26702,2012,0.13488292988786232,0.6248772267684609,4.632737643584443,0.5629517010588352,0.43704829894116487,0.48826360139483743,0.5117363828282977
26702,2014,0.1333791057846652,0.5345340923861963,4.007629900062297,NA,NA,0.41154051250445983,0.5884594753385414
26702,2016,0.1418618771963349,0.5039985725366987,3.5527414587865036,0.7153578568860758,0.2846421431139242,0.340369506802013,0.6596304774050007
26702,2018,0.1431292255451595,0.6117679354225418,4.274234930653765,NA,NA,0.4324438777560212,0.5675561427396618
26702,2020,0.15004908856476193,0.6556794033999421,4.369765985729047,0.7104124246327583,0.28958757536724167,0.3589385234806552,0.6410614672126722
26702,2022,0.14221336132197682,0.48603489245191617,3.4176457678369156,NA,NA,0.32098666920371927,0.6790133214886925
26704,2006,0.1963012531938192,0.40322423652512474,2.054109334325028,NA,NA,0.4331825721331457,0.5668174570923235
26704,2008,0.23119770499641407,0.6173679177623715,2.670302967635198,0.4724718990142431,0.5275281009857569,0.489871678216189,0.510128303733515
26704,2010,0.2016352618618508,0.4230600193750967,2.0981450142631983,NA,NA,0.48148991969960153,0.518510060027453
26704,2012,0.21116180781619873,0.5976939248658989,2.8305020261341425,0.5210650600224495,0.47893493997755043,0.5040573459865795,0.49594265457091585
26704,2014,0.19094876618247228,0.41122851292904905,2.1536065466695686,NA,NA,0.49901543985292157,0.5009845601473978
26704,2016,0.21177697325358683,0.4209731380318156,1.9878135548180313,0.6209733763252733,0.37902662367472684,0.4367423403700311,0.5632576812014796
26704,2018,0.1919029902319603,0.5071624758781074,2.64280653086792,NA,NA,0.5170016516366553,0.48299834882839254
