status,period,importer,sic87dd,start_imports,end_imports,import_growth
ok,2000-2007,OTH,3571,860109.375,17822022,16961912.625
ok,2000-2007,OTH,3663,981484.0625,9383222,8401737.9375
ok,2000-2007,OTH,3944,3549113,10836849,7287736
ok,2000-2007,OTH,3555,17011.154296875,6471436.5,6454425.345703125
ok,2000-2007,OTH,3661,771735.4375,7122598,6350862.5625
ok,2000-2007,OTH,3674,756832.375,6090363.5,5333531.125
ok,2000-2007,OTH,3651,3606205.25,8635138,5028932.75
ok,2000-2007,OTH,3679,4325610,8355075,4029465
ok,2000-2007,OTH,3312,643806.0625,4602578.5,3958772.4375
ok,2000-2007,OTH,2599,949551.3125,4817816,3868264.6875
ok,2000-2007,OTH,3714,401836.375,2783506.5,2381670.125
ok,2000-2007,OTH,2369,3198240.5,5511910,2313669.5
ok,2000-2007,OTH,3577,2616217.5,4915923,2299705.5
ok,2000-2007,OTH,3089,1562370.5,3644019.75,2081649.25
ok,2000-2007,OTH,3585,346174.84375,2397414.5,2051239.65625
ok,2000-2007,USA,3571,2316118.75,25004590,22688471.25
ok,2000-2007,USA,3663,1082550.375,17680680,16598129.625
ok,2000-2007,USA,3651,7375539.5,17852688,10477148.5
ok,2000-2007,USA,2599,4940403.5,14448434,9508030.5
ok,2000-2007,USA,3944,11759264,20160566,8401302
ok,2000-2007,USA,3555,6570.8037109375,7763523,7756952.1962890625
ok,2000-2007,USA,3661,2832460.25,8485802,5653341.75
ok,2000-2007,USA,3577,5740791.5,10977119,5236327.5
ok,2000-2007,USA,3679,5284769,10284664,4999895
ok,2000-2007,USA,3714,761243.375,4775432.5,4014189.125
ok,2000-2007,USA,3312,733496.1875,4345400.5,3611904.3125
ok,2000-2007,USA,2392,920180.3125,4317050,3396869.6875
ok,2000-2007,USA,3089,2629801,5916016.5,3286215.5
ok,2000-2007,USA,2369,1293537.75,4439793.5,3146255.75
ok,2000-2007,USA,2337,1051508.375,3740304.75,2688796.375
ok,1991-2007,OTH,3571,38938.22265625,17822022,17783083.77734375
ok,1991-2007,OTH,3944,1285590.75,10836849,9551258.25
ok,1991-2007,OTH,3663,48901.88671875,9383222,9334320.11328125
ok,1991-2007,OTH,3679,143699.734375,8355075,8211375.265625
ok,1991-2007,OTH,3651,936563.6875,8635138,7698574.3125
ok,1991-2007,OTH,3661,135678.890625,7122598,6986919.109375
ok,1991-2007,OTH,3555,2412.777099609375,6471436.5,6469023.722900391
ok,1991-2007,OTH,3674,15131.3134765625,6090363.5,6075232.1865234375
ok,1991-2007,OTH,3577,40964.03515625,4915923,4874958.96484375
ok,1991-2007,OTH,2599,99719.3671875,4817816,4718096.6328125
ok,1991-2007,OTH,2369,1191708.375,5511910,4320201.625
ok,1991-2007,OTH,3312,409159.71875,4602578.5,4193418.78125
ok,1991-2007,OTH,2337,1214870.875,4783165.5,3568294.625
ok,1991-2007,OTH,3089,256498.65625,3644019.75,3387521.09375
ok,1991-2007,OTH,3499,175509.78125,3023787.5,2848277.71875
ok,1991-2007,USA,3571,66843.9296875,25004590,24937746.0703125
ok,1991-2007,USA,3663,370155,17680680,17310525
ok,1991-2007,USA,3944,3244808.5,20160566,16915757.5
ok,1991-2007,USA,3651,1370841.625,17852688,16481846.375
ok,1991-2007,USA,2599,230550.796875,14448434,14217883.203125
ok,1991-2007,USA,3577,137361.546875,10977119,10839757.453125
ok,1991-2007,USA,3679,206877.5,10284664,10077786.5
ok,1991-2007,USA,3661,377541.1875,8485802,8108260.8125
ok,1991-2007,USA,3555,286.12896728515625,7763523,7763236.871032715
ok,1991-2007,USA,3089,581265.625,5916016.5,5334750.875
ok,1991-2007,USA,3714,73380.140625,4775432.5,4702052.359375
ok,1991-2007,USA,3949,344075.03125,5020407,4676331.96875
ok,1991-2007,USA,3312,5994.32421875,4345400.5,4339406.17578125
ok,1991-2007,USA,3648,243280.96875,4497324,4254043.03125
ok,1991-2007,USA,2392,427665.0625,4317050,3889384.9375
