status,period,importer,sic87dd,start_imports,end_imports,import_growth
ok,1991-1999,OTH,3679,143699.734375,2505878,2362178.265625
ok,1991-1999,OTH,3577,40964.03515625,1565398.375,1524434.33984375
ok,1991-1999,OTH,3944,1285590.75,2732429.25,1446838.5
ok,1991-1999,OTH,3651,936563.6875,2377214.75,1440651.0625
ok,1991-1999,OTH,3861,58608.046875,1004058.8125,945450.765625
ok,1991-1999,OTH,2369,1191708.375,2126562.75,934854.375
ok,1991-1999,OTH,2337,1214870.875,2095917,881046.125
ok,1991-1999,OTH,2091,235925.1875,1114860,878934.8125
ok,1991-1999,OTH,3161,623382.125,1466893.625,843511.5
ok,1991-1999,OTH,3089,256498.65625,1082972.625,826473.96875
ok,1991-1999,OTH,2325,634508.3125,1300735.5,666227.1875
ok,1991-1999,OTH,2392,605945.9375,1227629.375,621683.4375
ok,1991-1999,OTH,3021,374964.75,990012.8125,615048.0625
ok,1991-1999,OTH,2331,934854.625,1546733.75,611879.125
ok,1991-1999,OTH,3357,65468.171875,666530.6875,601062.515625
ok,1991-1999,USA,3944,3244808.5,9192073,5947264.5
ok,1991-1999,USA,3577,137361.546875,3840291.25,3702929.703125
ok,1991-1999,USA,3679,206877.5,3697473.75,3490596.25
ok,1991-1999,USA,3651,1370841.625,4815750,3444908.375
ok,1991-1999,USA,2599,230550.796875,3046769.5,2816218.703125
ok,1991-1999,USA,3999,1095001.125,3132441.25,2037440.125
ok,1991-1999,USA,3648,243280.96875,2254848.5,2011567.53125
ok,1991-1999,USA,3144,878628.25,2434876.5,1556248.25
ok,1991-1999,USA,3661,377541.1875,1922899.5,1545358.3125
ok,1991-1999,USA,3089,581265.625,1894250.5,1312984.875
ok,1991-1999,USA,3949,344075.03125,1552858.5,1208783.46875
ok,1991-1999,USA,3021,1364063.125,2402949.25,1038886.125
ok,1991-1999,USA,3861,97126.421875,1093179.125,996052.703125
ok,1991-1999,USA,3572,1001.6804809570313,913997.5,912995.819519043
ok,1991-1999,USA,3499,215968.578125,1124917.125,908948.546875
