year,state_fips,state,scope,rep_votes,dem_votes,twoparty_votes,total_votes,source_counties
1956,51,VA,pre_bridge,381587,264354,645941,689338,129
1956,53,WA,pre_bridge,620430,523002,1143432,1150889,39
1956,54,WV,pre_bridge,449297,381534,830831,830831,55
1956,55,WI,pre_bridge,954844,586768,1541612,1550558,71
1956,56,WY,pre_bridge,74573,49554,124127,124127,23
1960,01,AL,pre_bridge,236110,318303,554413,560265,67
1960,04,AZ,pre_bridge,221241,176781,398022,398491,14
1960,05,AR,pre_bridge,169008,199222,368230,392495,75
1960,06,CA,pre_bridge,3259722,3224099,6483821,6506578,58
1960,08,CO,pre_bridge,402242,330629,732871,736237,63
1960,09,CT,pre_bridge,565813,657055,1222868,1222868,8
1960,10,DE,pre_bridge,96373,99590,195963,196683,3
1960,12,FL,pre_bridge,795476,748700,1544176,1544176,67
1960,13,GA,pre_bridge,274472,458638,733110,733355,159
1960,15,HI,pre_bridge,92295,92410,184705,184705,4
1960,16,ID,pre_bridge,161597,138853,300450,300450,44
1960,17,IL,pre_bridge,2368988,2377846,4746834,4757409,102
1960,18,IN,pre_bridge,1175120,952358,2127478,2135360,92
1960,19,IA,pre_bridge,722381,550565,1272946,1273810,99
1960,20,KS,pre_bridge,561474,363213,924687,928825,105
1960,21,KY,pre_bridge,602607,521855,1124462,1124462,120
1960,22,LA,pre_bridge,230980,407339,638319,807891,64
1960,23,ME,pre_bridge,240608,181159,421767,421767,16
1960,24,MD,pre_bridge,489538,565808,1055346,1055349,24
1960,25,MA,pre_bridge,976750,1487174,2463924,2469480,14
1960,26,MI,pre_bridge,1620428,1687269,3307697,3318097,83
1960,27,MN,pre_bridge,757915,779933,1537848,1541887,87
1960,28,MS,pre_bridge,73561,108362,181923,298171,82
1960,29,MO,pre_bridge,962218,972201,1934419,2258919,115
1960,30,MT,pre_bridge,141841,134891,276732,277579,56
1960,31,NE,pre_bridge,380553,232542,613095,613095,93
1960,32,NV,pre_bridge,52387,54880,107267,107267,17
1960,33,NH,pre_bridge,157989,137772,295761,295761,10
1960,34,NJ,pre_bridge,1363324,1385415,2748739,2773111,21
1960,35,NM,pre_bridge,154832,156275,311107,311107,32
1960,36,NY,pre_bridge,3446419,3830085,7276504,7291079,62
1960,37,NC,pre_bridge,655420,713136,1368556,1368556,100
1960,38,ND,pre_bridge,154310,123963,278273,278431,53
1960,39,OH,pre_bridge,2217611,1944248,4161859,4161859,88
1960,40,OK,pre_bridge,533039,370111,903150,903150,77
