sample,spec,se_type,term,year,estimate,std.error,conf.low,conf.high,statistic,p.value,vcov_repair_required,vcov_repaired,crosswalk_specification,crosswalk_slug,spec_label,draw_order,line_width,point_size,alpha_value
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,es_2008,2008,9.931789542665442e-4,0.00269889649298095,-0.00429656096997758,0.00628291887851066,0.3679944587906631,0.7129853731154996,FALSE,FALSE,M5 + fallback M2,m5,Core controls,4,0.75,1.25,0.95
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,es_2012,2012,0.00103705796987838,0.00288606376597407,-0.00461952306851684,0.0066936390082736,0.3593330064654224,0.7194511961450148,FALSE,FALSE,M5 + fallback M2,m5,Core controls,4,0.75,1.25,0.95
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,es_2016,2016,8.267065907430786e-4,0.00249095690468064,-0.00405547922947236,0.00570889241095851,0.3318831366330146,0.7400739561321892,FALSE,FALSE,M5 + fallback M2,m5,Core controls,4,0.75,1.25,0.95
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,es_2020,2020,2.356875897895176e-4,0.00269434342148253,-0.00504512847829866,0.00551650365787769,0.0874749625123264,0.9303182747060602,FALSE,FALSE,M5 + fallback M2,m5,Core controls,4,0.75,1.25,0.95
main_1972_start,interacted_controls_full_panel,cluster_cz,es_1972,1972,0.00195712835364262,0.00241867913010957,-0.0027833956315308,0.00669765233881604,0.8091723822638521,0.41868293829151426,FALSE,FALSE,M5 + fallback M2,m5,Full controls,4,0.75,1.25,0.95
main_1972_start,interacted_controls_full_panel,cluster_cz,es_1976,1976,-0.00377666503966364,0.00289695606056962,-0.00945459458317515,0.00190126450384786,-1.3036666627663789,0.19276335550718843,FALSE,FALSE,M5 + fallback M2,m5,Full controls,4,0.75,1.25,0.95
main_1972_start,interacted_controls_full_panel,cluster_cz,es_1980,1980,-0.00131269992175254,0.00225543530265292,-0.00573327188441248,0.00310787204090738,-0.582016216651615,0.5607376939203967,FALSE,FALSE,M5 + fallback M2,m5,Full controls,4,0.75,1.25,0.95
main_1972_start,interacted_controls_full_panel,cluster_cz,es_1984,1984,-2.9196230065894023e-4,0.00114489083526652,-0.0025359071040113,0.00195198250269342,-0.2550132219295596,0.7987856097566288,FALSE,FALSE,M5 + fallback M2,m5,Full controls,4,0.75,1.25,0.95
main_1972_start,interacted_controls_full_panel,cluster_cz,es_1992,1992,-0.00406789359077888,0.00141045592402766,-0.00683233640365426,-0.0013034507779035,-2.884098341168086,0.00404237949956117,FALSE,FALSE,M5 + fallback M2,m5,Full controls,4,0.75,1.25,0.95
main_1972_start,interacted_controls_full_panel,cluster_cz,es_1996,1996,-0.00663835057721572,0.00245443265982035,-0.01144895019294246,-0.00182775096148899,-2.7046374854307933,0.00699924218520416,FALSE,FALSE,M5 + fallback M2,m5,Full controls,4,0.75,1.25,0.95
main_1972_start,interacted_controls_full_panel,cluster_cz,es_2000,2000,-0.00683574478066076,0.0028121675270322,-0.01234749185213694,-0.00132399770918457,-2.430774381309639,0.01530940517791452,FALSE,FALSE,M5 + fallback M2,m5,Full controls,4,0.75,1.25,0.95
main_1972_start,interacted_controls_full_panel,cluster_cz,es_2004,2004,-0.00597700925001412,0.0026016434287677,-0.01107613667101411,-8.778818290141243e-4,-2.297397554147224,0.02188169989736832,FALSE,FALSE,M5 + fallback M2,m5,Full controls,4,0.75,1.25,0.95
main_1972_start,interacted_controls_full_panel,cluster_cz,es_2008,2008,-0.00168926894830808,0.0029663103650566,-0.00750313043078688,0.00412459253417071,-0.5694848955145839,0.5692044940450764,FALSE,FALSE,M5 + fallback M2,m5,Full controls,4,0.75,1.25,0.95
main_1972_start,interacted_controls_full_panel,cluster_cz,es_2012,2012,-0.00174509922452856,0.00327088009267082,-0.00815590640391242,0.00466570795485529,-0.533525893669679,0.5938340203460508,FALSE,FALSE,M5 + fallback M2,m5,Full controls,4,0.75,1.25,0.95
main_1972_start,interacted_controls_full_panel,cluster_cz,es_2016,2016,-0.00121255629823651,0.00282592620688974,-0.0067512698867083,0.00432615729023527,-0.42908278895614455,0.6679911543395771,FALSE,FALSE,M5 + fallback M2,m5,Full controls,4,0.75,1.25,0.95
main_1972_start,interacted_controls_full_panel,cluster_cz,es_2020,2020,-0.00176422485279693,0.00285548179527755,-0.0073608663300507,0.00383241662445684,-0.6178378919153469,0.5368772976705799,FALSE,FALSE,M5 + fallback M2,m5,Full controls,4,0.75,1.25,0.95
