year,source_counties,source_two_party_votes_prejoin,source_rep_votes_prejoin,source_dem_votes_prejoin,source_two_party_votes_after_join_naive_for_diagnostic_only,matched_source_counties,bridged_two_party_votes,bridged_rep_votes,bridged_dem_votes,fallback_source_counties,source_two_party_votes_prejoin_adh_mainland_eligible,source_two_party_votes_prejoin_excluded_nonmainland,bridged_two_party_votes_adh_mainland_eligible,bridged_two_party_votes_excluded_nonmainland,retained_vote_share_adh_mainland_eligible,retained_vote_share_excluded_nonmainland,unmatched_source_counties,retained_vote_share_correct,retained_vote_share
1952,3098,60656890,33775055,26881835,95719056,3093,60633170.00947033,33763504.00583807,26869666.003632274,256,60656890,NA,60633170.00947033,NA,0.9996089481256017,NA,5,0.9996089481256017,0.9996089481256017
1956,3100,61618950,35594797,26024153,96980232,3096,61593386.01128567,35582294.00741474,26011092.00387093,256,61618950,NA,61593386.01128567,NA,0.9995851278102867,NA,4,0.9995851278102867,0.9995851278102867
1960,3105,68237274,34061318,34175956,107418772,3097,68026176.01388946,33957123.00782522,34069053.00606425,257,68052569,184705,68026176.01388946,0,0.9996121676742206,0,8,0.9969064123793905,0.9969064123793905
1964,3107,70447870,27154933,43292937,111760560,3102,70236473.01542254,27108914.00675633,43127559.00866618,257,70240599,207271,70236473.01542254,0,0.9999412592626458,0,5,0.9969992423535664,0.9969992423535664
1968,3111,63174774,31752894,31421880,100227787,3106,62937086.01522114,31658300.009171724,31278786.00604944,258,62942025,232749,62937086.01522114,0,0.9999215312062353,0,5,0.9962376124245595,0.9962376124245595
1972,3110,76242330,47107388,29134942,122051255,3106,75972056.01978329,46938523.013584755,29033533.00619861,258,75972056,270274,75972056.01978329,0,1.0000000002604021,0,4,0.9964550666248433,0.9964550666248433
1976,3113,79864901,39077078,40787823,129433417,3109,79577523.02158737,38937075.01203995,40640448.00954746,258,79577523,287378,79577523.02158737,0,1.0000000002712748,0,4,0.9964016986834726,0.9964016986834726
1980,3112,79255320,43817090,35438230,129097058,3108,78989378.01298973,43687005.008251555,35302373.004738204,221,78989378,265942,78989378.01298973,0,1.0000000001644491,0,4,0.9966444904012719,0.9966444904012719
1984,3114,91833271,54318945,37514326,148606758,3110,91501134.0168461,54133946.01050729,37367188.00633882,221,91501134,332137,91501134.0168461,0,1.000000000184108,0,4,0.9963832608864178,0.9963832608864178
1988,3114,90504238,48767346,41736892,146252865,3110,90153249.01792479,48608721.010214746,41544528.00771007,221,90153249,350989,90153249.01792479,0,1.0000000001988256,0,4,0.996121850315173,0.996121850315173
1992,3115,83834134,39002574,44831560,83834134,3115,83834134,39002574,44831560,0,83517930,316204,83517930,316204,1,1,0,1,1
1996,3114,86395813,39076022,47319791,86395813,3114,86395813,39076022,47319791,0,86076799,319014,86076799,319014,1,1,0,1,1
2000,3114,101225791,50294999,50930792,164542091,3109,100882688.98919457,50157168.99629475,50725519.992899835,196,100882689,343102,100882688.98919457,0,0.9999999998928911,0,5,0.9966105277378823,0.9966105277378823
2004,3114,120764365,61848622,58915743,196356425,3109,120338873.98731096,61654491.99608609,58684381.99122491,196,120338874,425491,120338873.98731096,0,0.9999999998945558,0,5,0.9964766840558551,0.9964766840558551
2008,3114,129131439,59756352,69375087,210100169,3109,128685777.98637007,59635915.996565476,69049861.9898046,196,128685778,445661,128685777.98637007,0,0.9999999998940836,0,5,0.9965487799324382,0.9965487799324382
2012,3114,126528743,60757548,65771195,793718543,3109,126101513.17968439,60636609.057550944,65464904.12213369,183,126101513,427230,126101513.17968439,0,1.0000000014249186,0,5,0.9966234563768992,0.9966234563768992
2016,3113,127605841,62508031,65097810,800003942,3108,127210088.18591501,62379183.04826764,64830905.137647614,183,127210088,395753,127210088.18591501,0,1.00000000146148,0,5,0.996898630885674,0.996898630885674
2020,3113,155129917,74018305,81111612,973847816,3108,154566898.97744614,73821439.99542397,80745458.98202218,184,154566899,563018,154566898.97744614,0,0.9999999998540835,0,5,0.9963706676736386,0.9963706676736386
