year,source_scope,source_counties,source_two_party_votes_prejoin,matched_source_counties,bridged_two_party_votes,fallback_source_counties,unmatched_source_counties,retained_vote_share
1952,adh_mainland_eligible,3098,60656890,3093,60633170.01821058,0,5,0.999608948269695
1956,adh_mainland_eligible,3100,61618950,3096,61593386.02125662,0,4,0.9995851279721031
1960,adh_mainland_eligible,3101,68052569,3097,68026176.02829854,0,4,0.9996121678859551
1960,excluded_nonmainland,4,184705,0,0,0,4,0
1964,adh_mainland_eligible,3103,70240599,3102,70236473.03461187,0,1,0.99994125953584
1964,excluded_nonmainland,4,207271,0,0,0,4,0
1968,adh_mainland_eligible,3107,62942025,3106,62937086.0352464,0,1,0.9999215315243893
1968,excluded_nonmainland,4,232749,0,0,0,4,0
1972,adh_mainland_eligible,3106,75972056,3106,75972056.04586253,0,0,1.0000000006036762
1972,excluded_nonmainland,4,270274,0,0,0,4,0
1976,adh_mainland_eligible,3109,79577523,3109,79577523.04628843,0,0,1.0000000005816772
1976,excluded_nonmainland,4,287378,0,0,0,4,0
1980,adh_mainland_eligible,3108,78989378,3108,78989377.97702307,0,0,0.9999999997091136
1980,excluded_nonmainland,4,265942,0,0,0,4,0
1984,adh_mainland_eligible,3110,91501134,3110,91501133.97079507,0,0,0.9999999996808243
1984,excluded_nonmainland,4,332137,0,0,0,4,0
1988,adh_mainland_eligible,3110,90153249,3110,90153248.96906367,0,0,0.9999999996568473
1988,excluded_nonmainland,4,350989,0,0,0,4,0
1992,adh_mainland_eligible,3110,83517930,3110,83517930,0,0,1
1992,excluded_nonmainland,5,316204,5,316204,0,0,1
1996,adh_mainland_eligible,3109,86076799,3109,86076799,0,0,1
1996,excluded_nonmainland,5,319014,5,319014,0,0,1
2000,adh_mainland_eligible,3109,100882689,3109,100882688.98055224,0,0,0.999999999807224
2000,excluded_nonmainland,5,343102,0,0,0,5,0
2004,adh_mainland_eligible,3109,120338874,3109,120338873.97853255,0,0,0.9999999998216084
2004,excluded_nonmainland,5,425491,0,0,0,5,0
2008,adh_mainland_eligible,3109,128685778,3109,128685777.9775695,0,0,0.9999999998256957
2008,excluded_nonmainland,5,445661,0,0,0,5,0
2012,adh_mainland_eligible,3109,126101513,3109,126101513.08875209,0,0,1.0000000007038146
2012,excluded_nonmainland,5,427230,0,0,0,5,0
2016,adh_mainland_eligible,3108,127210088,3108,127210088.0917355,0,0,1.0000000007211338
2016,excluded_nonmainland,5,395753,0,0,0,5,0
2020,adh_mainland_eligible,3108,154566899,3108,154566898.87190104,0,0,0.9999999991712394
2020,excluded_nonmainland,5,563018,0,0,0,5,0
