year,source_decade,source_decade_default,source_scope,source_issue_class,state_fips,state,county_fips,county_fips_for_crosswalk,county_name,bridge_exception_applied,exception_issue_class,exception_reason,twoparty_votes,source_two_party_votes_prejoin,vote_share_of_year,weight_sum_raw,selected_weight_sum_raw,crosswalk_weight_sum,raw_weight_undefined,raw_weight_sum_valid,raw_weight_requires_policy,fallback_used,fallback_policy,no_positive_final_target,final_weight_invalid,n_targets,positive_targets,positive_target_1990_counties,positive_target_czones,positive_target_count,positive_target_cz_count
1960,1970,1970,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15001,15001,HAWAII,FALSE,NA,NA,23808,68237274,3.4890022130719937e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1960,1970,1970,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15003,15003,HONOLULU,FALSE,NA,NA,134456,68237274,0.001970418689351512,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1960,1970,1970,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15007,15007,KAUAI,FALSE,NA,NA,10291,68237274,1.5081200342205933e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1960,1970,1970,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15009,15009,MAUI,FALSE,NA,NA,16150,68237274,2.3667416725937793e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,2,0,NA,NA,NA,NA
1964,1970,1970,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15001,15001,HAWAII,FALSE,NA,NA,24973,70447870,3.544890711387016e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1964,1970,1970,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15003,15003,HONOLULU,FALSE,NA,NA,155395,70447870,0.0022058154490689355,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1964,1970,1970,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15007,15007,KAUAI,FALSE,NA,NA,10684,70447870,1.516582403414042e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1964,1970,1970,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15009,15009,MAUI,FALSE,NA,NA,16219,70447870,2.302269749248629e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,2,0,NA,NA,NA,NA
1968,1970,1970,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15001,15001,HAWAII,FALSE,NA,NA,25444,63174774,4.027556948601035e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1968,1970,1970,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15003,15003,HONOLULU,FALSE,NA,NA,179400,63174774,0.002839741065001673,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1968,1970,1970,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15007,15007,KAUAI,FALSE,NA,NA,11191,63174774,1.771434908496863e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1968,1970,1970,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15009,15009,MAUI,FALSE,NA,NA,16714,63174774,2.6456762631236325e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,2,0,NA,NA,NA,NA
1972,1970,1970,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15001,15001,HAWAII,FALSE,NA,NA,28484,76242330,3.7359823604551435e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1972,1970,1970,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15003,15003,HONOLULU,FALSE,NA,NA,209801,76242330,0.0027517653251153264,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1972,1970,1970,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15007,15007,KAUAI,FALSE,NA,NA,12972,76242330,1.701417047459069e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1972,1970,1970,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15009,15009,MAUI,FALSE,NA,NA,19017,76242330,2.4942836872902496e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,2,0,NA,NA,NA,NA
1976,1970,1970,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15001,15001,HAWAII,FALSE,NA,NA,31326,79864901,3.922373859826108e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1976,1970,1970,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15003,15003,HONOLULU,FALSE,NA,NA,219430,79864901,0.002747514831327469,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1976,1970,1970,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15007,15007,KAUAI,FALSE,NA,NA,14383,79864901,1.8009162748476956e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1976,1970,1970,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15009,15009,MAUI,FALSE,NA,NA,22239,79864901,2.784577420311333e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,2,0,NA,NA,NA,NA
1980,1980,1980,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15001,15001,HAWAII,FALSE,NA,NA,31877,79255320,4.0220643863402483e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1980,1980,1980,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15003,15003,HONOLULU,FALSE,NA,NA,196068,79255320,0.002473878094240235,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1980,1980,1980,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15007,15007,KAUAI,FALSE,NA,NA,14964,79255320,1.8880751475106025e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1980,1980,1980,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15009,15009,MAUI,FALSE,NA,NA,23033,79255320,2.9061771500007825e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1984,1980,1980,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15001,15001,HAWAII,FALSE,NA,NA,38573,91833271,4.2003295298062506e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1984,1980,1980,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15003,15003,HONOLULU,FALSE,NA,NA,247767,91833271,0.002698009090844646,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1984,1980,1980,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15007,15007,KAUAI,FALSE,NA,NA,18111,91833271,1.9721610482545046e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1984,1980,1980,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15009,15009,MAUI,FALSE,NA,NA,27686,91833271,3.01481148373774e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1988,1980,1980,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15001,15001,HAWAII,FALSE,NA,NA,41216,90504238,4.554040883698728e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1988,1980,1980,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15003,15003,HONOLULU,FALSE,NA,NA,259229,90504238,0.002864274709434049,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1988,1980,1980,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15007,15007,KAUAI,FALSE,NA,NA,20068,90504238,2.2173547276316496e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
1988,1980,1980,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15009,15009,MAUI,FALSE,NA,NA,30476,90504238,3.36735612314641e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
2000,2000,2000,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15001,15001,HAWAII,FALSE,NA,NA,45720,101225791,4.5166354886769916e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
2000,2000,2000,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15003,15003,HONOLULU,FALSE,NA,NA,240928,101225791,0.002380104888486374,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
2000,2000,2000,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15005,15005,KALAWAO,FALSE,NA,NA,41,101225791,4.050351160012175e-7,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
2000,2000,2000,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15007,15007,KAUAI,FALSE,NA,NA,20053,101225791,1.9810168734566864e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
2000,2000,2000,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15009,15009,MAUI,FALSE,NA,NA,36360,101225791,3.5919699555620165e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
2004,2000,2000,excluded_nonmainland,selected_m2_unavailable_fallback_m2_used_but_no_positive_target,15,HI,15001,15001,HAWAII,FALSE,NA,NA,57148,120764365,4.732190659057413e-4,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,fallback_m2,TRUE,TRUE,1,0,NA,NA,NA,NA
