sample,spec,se_type,n_event_coefficients,min_std_error,median_std_error,max_std_error,near_zero_se_count,nonfinite_se_count,vcov_dim,vcov_rank,vcov_rank_deficiency,diagnostic_note
diagnostic_1952_start,minimal_full_panel,cluster_cz,17,0.001244680268403674,0.0038491113070798816,0.006873984139340064,0,0,17,17,0,NA
diagnostic_1952_start,minimal_full_panel,cluster_cz_year,17,3.314871961649567e-4,9.355403100707422e-4,0.002263759309085641,0,7,17,17,0,Two-way clustering includes very few year clusters; use as diagnostic only.
diagnostic_1952_start,minimal_full_panel,cluster_state,17,0.0016512275305038135,0.004918989800152404,0.00877066871021775,0,0,17,17,0,NA
diagnostic_1952_start,minimal_full_panel,conley_1000km,17,0.0013946611788759075,0.005819041942222514,0.012500751790743265,0,0,17,17,0,NA
diagnostic_1952_start,minimal_full_panel,conley_250km,17,0.0018947733982972777,0.005104092923984938,0.00871361319379947,0,0,17,17,0,NA
diagnostic_1952_start,minimal_full_panel,conley_500km,17,0.0019133207833478814,0.005315290109254644,0.010718957896585909,0,0,17,17,0,NA
diagnostic_1952_start,minimal_full_panel,conley_750km,17,0.00218871505318032,0.005470844396755903,0.011410037234343912,0,0,17,17,0,NA
diagnostic_1952_start,minimal_full_panel,driscoll_kraay_lag1,17,5.571885845120601e-16,5.578815638043659e-16,5.753865956665297e-16,17,0,17,17,0,Suspicious near-zero Driscoll-Kraay SEs; do not report without further diagnosis.
diagnostic_1952_start,minimal_full_panel,heteroskedastic,17,0.0020397752861583784,0.0039942956685037004,0.006699375166119958,0,0,17,17,0,NA
diagnostic_1952_start,minimal_full_panel,newey_west_lag1,17,0.001752094515314694,0.004109938202409979,0.006893334948794077,0,0,17,17,0,NA
main_1972_start,interacted_controls_full_panel,cluster_cz,12,0.0011448890358047353,0.0027069705287268986,0.0032722012692766194,0,0,84,84,0,NA
main_1972_start,interacted_controls_full_panel,cluster_cz_year,12,0.0010834524796408092,0.0016459250792785712,0.0020265116192978066,0,5,84,84,0,Two-way clustering includes very few year clusters; use as diagnostic only.
main_1972_start,interacted_controls_full_panel,cluster_state,12,0.0012616836243975994,0.0030858854624205467,0.003816893921970964,0,0,84,47,37,VCOV is rank deficient; use as diagnostic only unless justified.
main_1972_start,interacted_controls_full_panel,conley_1000km,12,0.001085423092510031,0.003957556694923368,0.004710852653351739,0,0,84,84,0,NA
main_1972_start,interacted_controls_full_panel,conley_250km,12,0.0013576521247195598,0.0033730212443476926,0.004107680367913768,0,0,84,84,0,NA
main_1972_start,interacted_controls_full_panel,conley_500km,12,0.001257231219525419,0.0036050883813903587,0.003965121183410664,0,0,84,84,0,NA
main_1972_start,interacted_controls_full_panel,conley_750km,12,0.0011994800002253598,0.0038922828456605333,0.004886673237393636,0,0,84,84,0,NA
main_1972_start,interacted_controls_full_panel,driscoll_kraay_lag1,12,2.939973807239829e-15,2.954689070687098e-15,3.036117275278884e-15,12,0,84,13,71,Suspicious near-zero Driscoll-Kraay SEs and rank-deficient VCOV; do not report without further diagnosis.
main_1972_start,interacted_controls_full_panel,heteroskedastic,12,0.002118016103545777,0.002445682039213449,0.003374457519927739,0,0,84,84,0,NA
main_1972_start,interacted_controls_full_panel,newey_west_lag1,12,0.0017883889803573625,0.0025454109662797677,0.0035120596376590715,0,0,84,84,0,NA
main_1972_start,interacted_controls_full_panel_raw_controls_diagnostic,cluster_cz,12,0.0011448890358044864,0.002706970528725935,0.0032722012692757855,0,0,84,84,0,NA
main_1972_start,interacted_controls_full_panel_raw_controls_diagnostic,cluster_cz_year,12,0.0010834524796401233,0.0016459250792778292,0.002026511619297161,0,5,84,84,0,Two-way clustering includes very few year clusters; use as diagnostic only.
main_1972_start,interacted_controls_full_panel_raw_controls_diagnostic,cluster_state,12,0.0012616836243975586,0.003085885462419989,0.0038168939219701257,0,0,84,50,34,VCOV is rank deficient; use as diagnostic only unless justified.
main_1972_start,interacted_controls_full_panel_raw_controls_diagnostic,conley_1000km,12,0.0010854230925114988,0.003957556694920994,0.004710852653349452,0,0,84,84,0,NA
main_1972_start,interacted_controls_full_panel_raw_controls_diagnostic,conley_250km,12,0.0013576521247199418,0.0033730212443470802,0.00410768036791252,0,0,84,84,0,NA
main_1972_start,interacted_controls_full_panel_raw_controls_diagnostic,conley_500km,12,0.0012572312195252935,0.0036050883813891557,0.003965121183409327,0,0,84,84,0,NA
main_1972_start,interacted_controls_full_panel_raw_controls_diagnostic,conley_750km,12,0.0011994800002266069,0.0038922828456587006,0.004886673237392034,0,0,84,84,0,NA
main_1972_start,interacted_controls_full_panel_raw_controls_diagnostic,driscoll_kraay_lag1,12,6.4015094745651955e-16,6.606107807323226e-16,7.628217838392199e-16,12,0,84,29,55,Suspicious near-zero Driscoll-Kraay SEs and rank-deficient VCOV; do not report without further diagnosis.
main_1972_start,interacted_controls_full_panel_raw_controls_diagnostic,heteroskedastic,12,0.0021180161035450878,0.0024456820392128363,0.0033744575199272553,0,0,84,84,0,NA
main_1972_start,interacted_controls_full_panel_raw_controls_diagnostic,newey_west_lag1,12,0.0017883889803568935,0.0025454109662791753,0.0035120596376586525,0,0,84,84,0,NA
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,12,0.0011359813436527964,0.002602532669631805,0.0029282263893973606,0,0,48,48,0,NA
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,12,0.0011436284096748707,0.0014110724412527884,0.0017769523190824027,0,5,48,48,0,Two-way clustering includes very few year clusters; use as diagnostic only.
main_1972_start,interacted_core_controls_diagnostic,cluster_state,12,0.0012828235796126406,0.0030500480961080942,0.003739201947360083,0,0,48,48,0,NA
main_1972_start,interacted_core_controls_diagnostic,conley_1000km,12,0.0010035244996373079,0.003426429488562834,0.005568792933680866,0,0,48,48,0,NA
main_1972_start,interacted_core_controls_diagnostic,conley_250km,12,0.0012936773566982664,0.0033905365720457957,0.004062223001352507,0,0,48,48,0,NA
main_1972_start,interacted_core_controls_diagnostic,conley_500km,12,5.943350870789842e-4,0.0036780890659155133,0.004393029482034008,0,0,48,48,0,NA
main_1972_start,interacted_core_controls_diagnostic,conley_750km,12,0.0011412643500810422,0.0037449685971749796,0.005715511638175889,0,0,48,48,0,NA
main_1972_start,interacted_core_controls_diagnostic,driscoll_kraay_lag1,12,1.3919361070414985e-15,1.4003655947115316e-15,1.483832068396075e-15,12,0,48,17,31,Suspicious near-zero Driscoll-Kraay SEs and rank-deficient VCOV; do not report without further diagnosis.
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,12,0.002104850526286919,0.0023781035528643328,0.0032688650848977413,0,0,48,48,0,NA
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,12,0.001776531187214013,0.002475076794674796,0.0034021614015958767,0,0,48,48,0,NA
main_1972_start,minimal_full_panel,cluster_cz,12,0.0012446433816037702,0.003633013957175083,0.006873780424953333,0,0,12,12,0,NA
main_1972_start,minimal_full_panel,cluster_cz_year,12,0.001757743463431395,0.0030914864500870888,0.004253800552220306,0,6,12,12,0,Two-way clustering includes very few year clusters; use as diagnostic only.
main_1972_start,minimal_full_panel,cluster_state,12,0.001651178595446904,0.004453258391344875,0.008770408786516807,0,0,12,12,0,NA
main_1972_start,minimal_full_panel,conley_1000km,12,0.0016337101490224919,0.006273452631555629,0.012644608675601257,0,0,12,12,0,NA
main_1972_start,minimal_full_panel,conley_250km,12,0.0019165781827735913,0.004685705553774155,0.00881388822292577,0,0,12,12,0,NA
main_1972_start,minimal_full_panel,conley_500km,12,0.0019353390085096894,0.005529478187747154,0.010842310149133495,0,0,12,12,0,NA
main_1972_start,minimal_full_panel,conley_750km,12,0.002213902476677896,0.006071869509171494,0.011541342330239217,0,0,12,12,0,NA
main_1972_start,minimal_full_panel,driscoll_kraay_lag1,12,2.2679524093618785e-16,2.274006583564838e-16,2.4046197910689557e-16,12,0,12,12,0,Suspicious near-zero Driscoll-Kraay SEs; do not report without further diagnosis.
main_1972_start,minimal_full_panel,heteroskedastic,12,0.002554264826704963,0.003223723327552102,0.005744945044394203,0,0,12,12,0,NA
main_1972_start,minimal_full_panel,newey_west_lag1,12,0.0021074825333752202,0.0033036735940691316,0.005979209840940339,0,0,12,12,0,NA
