year,source_counties,source_two_party_votes_prejoin,source_rep_votes_prejoin,source_dem_votes_prejoin,source_two_party_votes_after_join_naive_for_diagnostic_only,matched_source_counties,bridged_two_party_votes,bridged_rep_votes,bridged_dem_votes,fallback_source_counties,source_two_party_votes_prejoin_adh_mainland_eligible,source_two_party_votes_prejoin_excluded_nonmainland,bridged_two_party_votes_adh_mainland_eligible,bridged_two_party_votes_excluded_nonmainland,retained_vote_share_adh_mainland_eligible,retained_vote_share_excluded_nonmainland,unmatched_source_counties,retained_vote_share_correct,retained_vote_share
1952,3098,60656890,33775055,26881835,95719056,3093,60633170.01821058,33763504.01033951,26869666.007871073,0,60656890,NA,60633170.01821058,NA,0.999608948269695,NA,5,0.999608948269695,0.999608948269695
1956,3100,61618950,35594797,26024153,96980232,3096,61593386.02125662,35582294.01235327,26011092.008903343,0,61618950,NA,61593386.02125662,NA,0.9995851279721031,NA,4,0.9995851279721031,0.9995851279721031
1960,3105,68237274,34061318,34175956,107418772,3097,68026176.02829854,33957123.015062444,34069053.0132361,0,68052569,184705,68026176.02829854,0,0.9996121678859551,0,8,0.9969064125905519,0.9969064125905519
1964,3107,70447870,27154933,43292937,111760560,3102,70236473.03461187,27108914.014076952,43127559.02053491,0,70240599,207271,70236473.03461187,0,0.99994125953584,0,5,0.9969992426259568,0.9969992426259568
1968,3111,63174774,31752894,31421880,100227787,3106,62937086.0352464,31658300.01789174,31278786.017354667,0,62942025,232749,62937086.0352464,0,0.9999215315243893,0,5,0.9962376127415414,0.9962376127415414
1972,3110,76242330,47107388,29134942,122051255,3106,75972056.04586253,46938523.02640645,29033533.019456074,0,75972056,270274,75972056.04586253,0,1.0000000006036762,0,4,0.9964550669669004,0.9964550669669004
1976,3113,79864901,39077078,40787823,129433417,3109,79577523.04628843,38937075.023997575,40640448.02229086,0,79577523,287378,79577523.04628843,0,1.0000000005816772,0,4,0.9964016989927582,0.9964016989927582
1980,3112,79255320,43817090,35438230,129097058,3108,78989377.97702307,43687004.98404346,35302372.9929796,0,78989378,265942,78989377.97702307,0,0.9999999997091136,0,4,0.9966444899474642,0.9966444899474642
1984,3114,91833271,54318945,37514326,148606758,3110,91501133.97079507,54133945.98059795,37367187.99019711,0,91501134,332137,91501133.97079507,0,0.9999999996808243,0,4,0.9963832603849542,0.9963832603849542
1988,3114,90504238,48767346,41736892,146252865,3110,90153248.96906367,48608720.98154341,41544527.98752026,0,90153249,350989,90153248.96906367,0,0.9999999996568473,0,4,0.9961218497752964,0.9961218497752964
1992,3115,83834134,39002574,44831560,83834134,3115,83834134,39002574,44831560,0,83517930,316204,83517930,316204,1,1,0,1,1
1996,3114,86395813,39076022,47319791,86395813,3114,86395813,39076022,47319791,0,86076799,319014,86076799,319014,1,1,0,1,1
2000,3114,101225791,50294999,50930792,164542091,3109,100882688.98055224,50157168.99126141,50725519.98929083,0,100882689,343102,100882688.98055224,0,0.999999999807224,0,5,0.9966105276525055,0.9966105276525055
2004,3114,120764365,61848622,58915743,196356425,3109,120338873.97853255,61654491.99024157,58684381.98829097,0,120338874,425491,120338873.97853255,0,0.9999999998216084,0,5,0.9964766839831647,0.9964766839831647
2008,3114,129131439,59756352,69375087,210100169,3109,128685777.9775695,59635915.99145644,69049861.98611306,0,128685778,445661,128685777.9775695,0,0.9999999998256957,0,5,0.9965487798642862,0.9965487798642862
2012,3114,126528743,60757548,65771195,793718543,3109,126101513.08875209,60636609.00125703,65464904.08749505,0,126101513,427230,126101513.08875209,0,1.0000000007038146,0,5,0.9966234556582301,0.9966234556582301
2016,3113,127605841,62508031,65097810,800003942,3108,127210088.0917355,62379182.996022314,64830905.09571318,0,127210088,395753,127210088.0917355,0,1.0000000007211338,0,5,0.9968986301476238,0.9968986301476238
2020,3113,155129917,74018305,81111612,973847816,3108,154566898.87190104,73821439.95558922,80745458.9163118,0,154566899,563018,154566898.87190104,0,0.9999999991712394,0,5,0.9963706669932727,0.9963706669932727
