sample,spec,spec_label,se_type,year,term,estimate,std.error,conf.low,conf.high,statistic,p.value,vcov_repair_required,vcov_repaired
main_1972_start,minimal_full_panel,Minimal,cluster_cz,1972,es_1972,1.5527955458879744e-4,0.0018992744803261442,-0.003567230023606471,0.0038777891327840663,0.08175730058887158,0.9348624016947682,FALSE,FALSE
main_1972_start,minimal_full_panel,Minimal,cluster_cz,1976,es_1976,-0.007399333742852161,0.003993635792917477,-0.015226716064340475,4.280485786361532e-4,-1.8527813066916434,0.06432215155332836,FALSE,FALSE
main_1972_start,minimal_full_panel,Minimal,cluster_cz,1980,es_1980,-0.007258701510178525,0.0038489972365007767,-0.014802597470314241,2.8519444995719206e-4,-1.8858682051893596,0.05971445572028174,FALSE,FALSE
main_1972_start,minimal_full_panel,Minimal,cluster_cz,1984,es_1984,-6.261127229822642e-4,0.0013396518356758491,-0.0032517820727298984,0.00199955662676537,-0.4673697346642255,0.6403765883948223,FALSE,FALSE
main_1972_start,minimal_full_panel,Minimal,cluster_cz,1992,es_1992,-0.003277662151914103,0.0012446433816037702,-0.005717118353453635,-8.382059503745714e-4,-2.633414679545165,0.008634277333061996,FALSE,FALSE
main_1972_start,minimal_full_panel,Minimal,cluster_cz,1996,es_1996,-0.002375796486315108,0.00215972005543278,-0.006608770011652203,0.0018571770390219881,-1.1000483513308992,0.2716782022692909,FALSE,FALSE
main_1972_start,minimal_full_panel,Minimal,cluster_cz,2000,es_2000,-0.0011015250975474262,0.003146347067328241,-0.007268252032373997,0.005065201837279144,-0.3500965004737382,0.7263685232236466,FALSE,FALSE
main_1972_start,minimal_full_panel,Minimal,cluster_cz,2004,es_2004,-4.985171311561098e-4,0.00341703067784939,-0.0071957741938094,0.006198739931497181,-0.1458919097179035,0.8840474962144831,FALSE,FALSE
main_1972_start,minimal_full_panel,Minimal,cluster_cz,2008,es_2008,0.002043190722664928,0.004135463678910332,-0.006062169147372835,0.010148550592702692,0.4940656916138835,0.6214102692858267,FALSE,FALSE
main_1972_start,minimal_full_panel,Minimal,cluster_cz,2012,es_2012,0.0030690731107551016,0.0048996644575910134,-0.006534092762454261,0.012672238983964464,0.6263843447483857,0.5312611338116916,FALSE,FALSE
main_1972_start,minimal_full_panel,Minimal,cluster_cz,2016,es_2016,0.008414451698126352,0.006873780424953333,-0.005057910372418605,0.02188681376867131,1.2241374000804628,0.22130024901126608,FALSE,FALSE
main_1972_start,minimal_full_panel,Minimal,cluster_cz,2020,es_2020,0.008763399004731083,0.0061987191818299505,-0.0033858673419332064,0.020912665351395375,1.413743508565265,0.15786884003790538,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,Core controls,cluster_cz,1972,es_1972,0.0020543853778192686,0.0025065008601322333,-0.0028582660352585746,0.006967036790897112,0.81962284972481,0.41270199644526195,FALSE,FALSE
