gisjoin_2020,centroid_x,centroid_y,decade
1001,-86.642746,32.53492,2020
1003,-87.74984,30.660971,2020
1005,-85.393196,31.869604,2020
1007,-87.126442,32.998642,2020
1009,-86.567368,33.980865,2020
1011,-85.715698,32.100555,2020
1013,-86.68029,31.752434,2020
1015,-85.826035,33.771431,2020
1017,-85.392044,32.914371,2020
1019,-85.60379,34.175957,2020
1021,-86.718811,32.847847,2020
1023,-88.263199,32.019611,2020
1025,-87.830811,31.676659,2020
1027,-85.86055,33.269085,2020
1029,-85.518768,33.674557,2020
1031,-85.988205,31.402628,2020
1033,-87.804985,34.700436,2020
1035,-86.993675,31.429272,2020
1037,-86.247658,32.936226,2020
1039,-86.451241,31.248493,2020
1041,-86.313538,31.731501,2020
1043,-86.867622,34.131943,2020
1045,-85.611038,31.431828,2020
1047,-87.106476,32.325974,2020
1049,-85.804146,34.459766,2020
1051,-86.149147,32.596649,2020
1053,-87.161621,31.126123,2020
1055,-86.03476,34.045254,2020
1057,-87.738861,33.721207,2020
1059,-87.843811,34.441669,2020
1061,-85.838982,31.095016,2020
1063,-87.952232,32.853138,2020
1065,-87.62912,32.762665,2020
1067,-85.241409,31.514694,2020
1069,-85.302528,31.153189,2020
1071,-85.999298,34.779411,2020
1073,-86.8964,33.554329,2020
1075,-88.096901,33.779205,2020
1077,-87.653999,34.901371,2020
1079,-87.311043,34.521652,2020
1081,-85.35556,32.601135,2020
1083,-86.981377,34.810078,2020
1085,-86.650108,32.154751,2020
1087,-85.692665,32.385975,2020
1089,-86.550209,34.763088,2020
1091,-87.78952,32.247612,2020
1093,-87.887138,34.136551,2020
1095,-86.306641,34.366962,2020
1097,-88.197525,30.685152,2020
1099,-87.36544,31.570833,2020
1101,-86.207611,32.220257,2020
1103,-86.852921,34.453472,2020
1105,-87.294403,32.638466,2020
1107,-88.088692,33.280876,2020
1109,-85.94091,31.802708,2020
1111,-85.459068,33.293789,2020
1113,-85.184959,32.28838,2020
1115,-86.314598,33.715729,2020
1117,-86.660637,33.264271,2020
1119,-88.198792,32.591019,2020
1121,-86.165901,33.380062,2020
1123,-85.797501,32.862404,2020
1125,-87.525024,33.289551,2020
1127,-87.297356,33.803333,2020
1129,-88.207878,31.407604,2020
1131,-87.308205,31.989241,2020
1133,-87.37368,34.149223,2020
2013,-161.94724,55.224522,2020
2016,-174.19231,52.258671,2020
2020,-149.19,61.148304,2020
2050,-160.19583,60.84901,2020
2060,-156.98102,58.733257,2020
2063,-146.13054,60.610085,2020
2066,-143.96811,61.883453,2020
2068,-150.01166,63.671513,2020
2070,-158.34827,59.713997,2020
2090,-146.56543,64.80777,2020
2100,-135.47009,59.075893,2020
2105,-135.55908,58.209145,2020
2110,-134.23035,58.443935,2020
2122,-151.69806,60.119419,2020
2130,-131.03052,55.488514,2020
2150,-153.75752,57.662811,2020
2158,-163.52547,62.160011,2020
2164,-156.54732,58.279072,2020
2170,-149.58148,62.304245,2020
2180,-164.24432,64.835449,2020
2185,-153.5106,69.363411,2020
2188,-160.00697,67.008171,2020
2195,-133.00246,57.114014,2020
2198,-133.19302,55.727169,2020
2220,-135.30496,57.179775,2020
2230,-135.33667,59.559994,2020
2240,-143.21298,63.876156,2020
2275,-132.12923,56.293625,2020
2282,-140.38101,59.863209,2020
2290,-151.38962,65.508652,2020
4001,-109.48885,35.395531,2020
4003,-109.75127,31.879637,2020
4005,-111.77052,35.838726,2020
4007,-110.81164,33.799702,2020
4009,-109.88745,32.932663,2020
4011,-109.24036,33.215401,2020
4012,-113.98158,33.729385,2020
4013,-112.49151,33.349041,2020
4015,-113.7579,35.704067,2020
4017,-110.32142,35.399551,2020
4019,-111.78986,32.097401,2020
