gisjoin_1890,centroid_x,centroid_y,decade
G0100010,-86.642784,32.534931,1890
G0100030,-87.723816,30.735128,1890
G0100050,-85.393196,31.869604,1890
G0100070,-87.128334,32.996578,1890
G0100090,-86.615974,33.979069,1890
G0100110,-85.715912,32.100529,1890
G0100130,-86.68029,31.752422,1890
G0100150,-85.824181,33.773376,1890
G0100170,-85.392044,32.914371,1890
G0100190,-85.602409,34.175537,1890
G0100210,-86.718819,32.847851,1890
G0100230,-88.263199,32.019611,1890
G0100250,-87.830803,31.676649,1890
G0100270,-85.844391,33.260784,1890
G0100290,-85.520782,33.672546,1890
G0100310,-85.98819,31.40263,1890
G0100330,-87.832947,34.689632,1890
G0100350,-86.993652,31.429285,1890
G0100370,-86.247696,32.936245,1890
G0100390,-86.45179,31.247797,1890
G0100410,-86.31337,31.729939,1890
G0100430,-86.864937,34.162426,1890
G0100450,-85.603577,31.407536,1890
G0100470,-87.106506,32.32584,1890
G0100490,-85.804199,34.458694,1890
G0100510,-86.149162,32.596619,1890
G0100530,-87.161552,31.126156,1890
G0100550,-86.034744,34.044964,1890
G0100570,-87.738861,33.721203,1890
G0100590,-87.855919,34.436771,1890
G0100610,-85.788704,31.095575,1890
G0100630,-87.952232,32.853138,1890
G0100650,-87.62912,32.762676,1890
G0100670,-85.236565,31.359396,1890
G0100710,-85.99929,34.77943,1890
G0100730,-86.895927,33.553581,1890
G0100750,-88.096901,33.779205,1890
G0100770,-87.654373,34.901527,1890
G0100790,-87.326836,34.539974,1890
G0100810,-85.349342,32.605904,1890
G0100830,-86.981339,34.810081,1890
G0100850,-86.650101,32.154743,1890
G0100870,-85.692627,32.386002,1890
G0100890,-86.550201,34.763115,1890
G0100910,-87.789497,32.247643,1890
G0100930,-87.887138,34.136547,1890
G0100950,-86.306625,34.366974,1890
G0100970,-88.206947,30.787621,1890
G0100990,-87.365425,31.570807,1890
G0101010,-86.207611,32.220222,1890
G0101030,-86.852921,34.453472,1890
G0101050,-87.29422,32.638512,1890
G0101070,-88.088676,33.280888,1890
G0101090,-85.940849,31.802589,1890
G0101110,-85.459007,33.29393,1890
G0101130,-85.194382,32.290989,1890
G0101150,-86.313789,33.716164,1890
G0101170,-86.663834,33.262409,1890
G0101190,-88.198792,32.591011,1890
G0101210,-86.15097,33.376266,1890
G0101230,-85.797523,32.862396,1890
G0101250,-87.525192,33.290112,1890
G0101270,-87.297607,33.804085,1890
G0101290,-88.208138,31.405529,1890
G0101310,-87.308205,31.98925,1890
