gisjoin_1920,centroid_x,centroid_y,decade
G0100010,-86.642784,32.534931,1920
G0100030,-87.723816,30.735128,1920
G0100050,-85.393196,31.869604,1920
G0100070,-87.12767,32.997494,1920
G0100090,-86.56739,33.980888,1920
G0100110,-85.716072,32.100487,1920
G0100130,-86.68029,31.752422,1920
G0100150,-85.82605,33.77142,1920
G0100170,-85.392044,32.914371,1920
G0100190,-85.603798,34.175945,1920
G0100210,-86.718819,32.847851,1920
G0100230,-88.263199,32.019611,1920
G0100250,-87.830803,31.676649,1920
G0100270,-85.860542,33.269085,1920
G0100290,-85.518768,33.674557,1920
G0100310,-85.98819,31.40263,1920
G0100330,-87.804909,34.700439,1920
G0100350,-86.993652,31.429285,1920
G0100370,-86.247696,32.936245,1920
G0100390,-86.451233,31.24848,1920
G0100410,-86.313545,31.731497,1920
G0100430,-86.867622,34.131962,1920
G0100450,-85.611023,31.431824,1920
G0100470,-87.106506,32.32584,1920
G0100490,-85.804131,34.459782,1920
G0100510,-86.149162,32.596619,1920
G0100530,-87.161552,31.126156,1920
G0100550,-86.034805,34.045246,1920
G0100570,-87.738861,33.721203,1920
G0100590,-87.843811,34.441669,1920
G0100610,-85.838974,31.095016,1920
G0100630,-87.952232,32.853138,1920
G0100650,-87.62912,32.762676,1920
G0100670,-85.241402,31.514687,1920
G0100690,-85.302521,31.153177,1920
G0100710,-85.99929,34.77943,1920
G0100730,-86.896492,33.554317,1920
G0100750,-88.096901,33.779205,1920
G0100770,-87.654373,34.901527,1920
G0100790,-87.311043,34.521969,1920
G0100810,-85.349342,32.605904,1920
G0100830,-86.981339,34.810081,1920
G0100850,-86.650101,32.154743,1920
G0100870,-85.692627,32.386002,1920
G0100890,-86.550201,34.763115,1920
G0100910,-87.789497,32.247643,1920
G0100930,-87.887138,34.136547,1920
G0100950,-86.306625,34.366974,1920
G0100970,-88.207176,30.789749,1920
G0100990,-87.365425,31.570807,1920
G0101010,-86.207611,32.220222,1920
G0101030,-86.852921,34.453472,1920
G0101050,-87.29422,32.638512,1920
G0101070,-88.088676,33.280888,1920
G0101090,-85.940887,31.802389,1920
G0101110,-85.459068,33.293785,1920
G0101130,-85.194382,32.290989,1920
G0101150,-86.314697,33.715694,1920
G0101170,-86.662735,33.263428,1920
G0101190,-88.198792,32.591011,1920
G0101210,-86.165909,33.380043,1920
G0101230,-85.797523,32.862396,1920
G0101250,-87.524635,33.290218,1920
G0101270,-87.29715,33.804123,1920
G0101290,-88.207878,31.407604,1920
G0101310,-87.308205,31.98925,1920
G0101330,-87.373688,34.149227,1920
G0250015,-134.52713,57.526978,1920
G0250035,-150.19041,65.378693,1920
G0250075,-159.38574,66.939789,1920
G0250115,-150.66975,60.171783,1920
G0400010,-109.48885,35.395622,1920
G0400030,-109.75113,31.879553,1920
G0400050,-111.7705,35.83873,1920
G0400070,-110.81171,33.799702,1920
G0400090,-109.88742,32.932709,1920
G0400110,-109.2401,33.215355,1920
G0400130,-112.49123,33.348843,1920
G0400150,-113.75819,35.704391,1920
G0400170,-110.32141,35.39962,1920
G0400190,-111.78994,32.097385,1920
G0400210,-111.34475,32.904305,1920
G0400230,-110.84657,31.526003,1920
G0400250,-112.55387,34.599888,1920
G0400270,-113.93985,33.203777,1920
G0500010,-91.374619,34.289665,1920
G0500030,-91.767937,33.191181,1920
G0500050,-92.336983,36.287197,1920
G0500070,-94.257332,36.339184,1920
G0500090,-93.091499,36.308582,1920
G0500110,-92.162277,33.46587,1920
G0500130,-92.503136,33.558048,1920
G0500150,-93.5382,36.341022,1920
G0500170,-91.293983,33.267212,1920
G0500190,-93.176392,34.050999,1920
G0500210,-90.417381,36.368408,1920
G0500230,-92.026756,35.538101,1920
G0500250,-92.185165,33.898346,1920
G0500270,-93.227333,33.214306,1920
G0500290,-92.701324,35.262196,1920
G0500310,-90.63279,35.830772,1920
G0500330,-94.243011,35.588821,1920
G0500350,-90.308868,35.207905,1920
G0500370,-90.771255,35.295746,1920
G0500390,-92.654503,33.969814,1920
G0500410,-91.25544,33.833389,1920
G0500430,-91.720032,33.589451,1920
G0500450,-92.332039,35.146976,1920
G0500470,-93.890617,35.512318,1920
G0500490,-91.81826,36.381668,1920
G0500510,-93.150436,34.576687,1920
G0500530,-92.423576,34.290009,1920
G0500550,-90.559105,36.117691,1920
G0500570,-93.668442,33.735348,1920
G0500590,-92.946007,34.317642,1920
G0500610,-93.993484,34.088745,1920
G0500630,-91.569717,35.74157,1920
G0500650,-91.913414,36.094875,1920
G0500670,-91.214577,35.599251,1920
G0500690,-91.931541,34.268795,1920
G0500710,-93.459915,35.570053,1920
G0500730,-93.607079,33.240929,1920
G0500750,-91.107071,36.041256,1920
G0500770,-90.782036,34.780632,1920
G0500790,-91.732979,33.957123,1920
G0500810,-94.234337,33.700512,1920
G0500830,-93.718124,35.21537,1920
G0500850,-91.888672,34.754238,1920
G0500870,-93.724564,36.01096,1920
G0500890,-92.684235,36.268364,1920
G0500910,-93.891571,33.312164,1920
G0500930,-90.054001,35.763927,1920
G0500950,-91.203857,34.67783,1920
G0500970,-93.659531,34.538795,1920
G0500990,-93.307167,33.664047,1920
G0501010,-93.217873,35.919971,1920
G0501030,-92.881989,33.593334,1920
G0501050,-92.931496,34.947372,1920
G0501070,-90.848015,34.428288,1920
G0501090,-93.656395,34.163589,1920
G0501110,-90.66288,35.574032,1920
G0501130,-94.228065,34.485851,1920
G0501150,-93.034164,35.447628,1920
G0501170,-91.552773,34.829742,1920
G0501190,-92.311798,34.769924,1920
G0501210,-91.027763,36.341511,1920
G0501230,-90.747742,35.022015,1920
G0501250,-92.676582,34.646614,1920
G0501270,-94.063263,34.860771,1920
G0501290,-92.699486,35.910904,1920
G0501310,-94.274017,35.199291,1920
G0501330,-94.241196,33.997223,1920
G0501350,-91.479889,36.161125,1920
G0501370,-92.156685,35.859867,1920
G0501390,-92.59729,33.171326,1920
G0501410,-92.515701,35.580643,1920
G0501430,-94.214676,35.980007,1920
G0501450,-91.745575,35.256222,1920
G0501470,-91.243042,35.186337,1920
G0501490,-93.411537,35.003674,1920
G0600010,-121.88613,37.646511,1920
G0600030,-119.82065,38.597248,1920
G0600050,-120.65199,38.446056,1920
G0600070,-121.60101,39.665051,1920
G0600090,-120.55408,38.204617,1920
G0600110,-122.23703,39.177547,1920
G0600130,-121.92893,37.915531,1920
G0600150,-123.89703,41.743103,1920
G0600170,-120.5246,38.778553,1920
G0600190,-119.65038,36.758411,1920
G0600210,-122.39217,39.598404,1920
G0600230,-123.87351,40.6987,1920
G0600250,-115.36531,33.039513,1920
G0600270,-117.40977,36.510708,1920
G0600290,-118.72961,35.343483,1920
G0600310,-119.81556,36.075371,1920
G0600330,-122.75317,39.099644,1920
G0600350,-120.5943,40.673557,1920
G0600370,-118.22481,34.322884,1920
G0600390,-119.7626,37.218079,1920
G0600410,-122.71911,38.071857,1920
G0600430,-119.90552,37.581524,1920
G0600450,-123.39136,39.440269,1920
G0600470,-120.71802,37.192593,1920
G0600490,-120.72495,41.58984,1920
G0600510,-118.88672,37.938995,1920
G0600530,-121.23907,36.217121,1920
G0600550,-122.3306,38.50745,1920
G0600570,-120.76827,39.301411,1920
G0600590,-117.76096,33.703083,1920
G0600610,-120.71769,39.063454,1920
G0600630,-120.83855,40.004658,1920
G0600650,-115.99384,33.743671,1920
G0600670,-121.3379,38.454769,1920
G0600690,-121.07498,36.605671,1920
G0600710,-116.17857,34.841183,1920
G0600730,-116.73301,33.035835,1920
G0600750,-122.44296,37.755924,1920
G0600770,-121.27157,37.934311,1920
G0600790,-120.4044,35.387089,1920
G0600810,-122.32914,37.421921,1920
G0600830,-120.01655,34.673077,1920
G0600850,-121.6948,37.231594,1920
G0600870,-122.00173,37.056194,1920
G0600890,-122.04053,40.763767,1920
G0600910,-120.51603,39.580391,1920
G0600930,-122.54037,41.592648,1920
G0600950,-121.92607,38.28083,1920
G0600970,-122.88735,38.528694,1920
G0600990,-120.99774,37.559162,1920
G0601010,-121.69523,39.034515,1920
G0601030,-122.23219,40.125755,1920
G0601050,-123.11263,40.650696,1920
