gisjoin_1900,centroid_x,centroid_y,decade
G0100010,-86.642784,32.534931,1900
G0100030,-87.723816,30.735128,1900
G0100050,-85.393196,31.869604,1900
G0100070,-87.128242,32.99633,1900
G0100090,-86.612442,33.979725,1900
G0100110,-85.716072,32.100487,1900
G0100130,-86.680481,31.752377,1900
G0100150,-85.827477,33.772377,1900
G0100170,-85.392044,32.914371,1900
G0100190,-85.602844,34.174698,1900
G0100210,-86.718819,32.847851,1900
G0100230,-88.263199,32.019611,1900
G0100250,-87.830803,31.676649,1900
G0100270,-85.860542,33.269085,1900
G0100290,-85.521667,33.673615,1900
G0100310,-85.98819,31.40263,1900
G0100330,-87.804909,34.700439,1900
G0100350,-86.993652,31.429285,1900
G0100370,-86.247696,32.936245,1900
G0100390,-86.451233,31.24848,1900
G0100410,-86.313675,31.731577,1900
G0100430,-86.866722,34.159878,1900
G0100450,-85.603577,31.407536,1900
G0100470,-87.106506,32.32584,1900
G0100490,-85.804214,34.459114,1900
G0100510,-86.149162,32.596619,1900
G0100530,-87.161552,31.126156,1900
G0100550,-86.034714,34.044945,1900
G0100570,-87.738861,33.721203,1900
G0100590,-87.843811,34.441669,1900
G0100610,-85.788704,31.095575,1900
G0100630,-87.952232,32.853138,1900
G0100650,-87.62912,32.762676,1900
G0100670,-85.236565,31.359396,1900
G0100710,-85.99929,34.77943,1900
G0100730,-86.897781,33.553505,1900
G0100750,-88.096901,33.779205,1900
G0100770,-87.654373,34.901527,1900
G0100790,-87.311043,34.521969,1900
G0100810,-85.349342,32.605904,1900
G0100830,-86.981339,34.810081,1900
G0100850,-86.650101,32.154743,1900
G0100870,-85.692627,32.386002,1900
G0100890,-86.550201,34.763115,1900
G0100910,-87.789497,32.247643,1900
G0100930,-87.887138,34.136547,1900
G0100950,-86.306625,34.366974,1900
G0100970,-88.207176,30.789749,1900
G0100990,-87.365425,31.570807,1900
G0101010,-86.207611,32.220222,1900
G0101030,-86.852921,34.453472,1900
G0101050,-87.29422,32.638512,1900
G0101070,-88.088676,33.280888,1900
G0101090,-85.940887,31.802389,1900
G0101110,-85.458923,33.293961,1900
G0101130,-85.194382,32.290989,1900
G0101150,-86.315125,33.715874,1900
G0101170,-86.664223,33.263157,1900
G0101190,-88.198792,32.591011,1900
G0101210,-86.165909,33.380043,1900
G0101230,-85.797523,32.862396,1900
G0101250,-87.525375,33.289978,1900
G0101270,-87.297287,33.803905,1900
G0101290,-88.207878,31.407604,1900
G0101310,-87.308205,31.98925,1900
G0101330,-87.373352,34.148991,1900
G0250055,-153.17245,66.500122,1900
G0250095,-150.66057,60.064713,1900
G0450015,-109.48885,35.395622,1900
G0450035,-109.75113,31.879553,1900
G0450055,-111.7705,35.83873,1900
G0450075,-110.81171,33.799702,1900
G0450095,-109.70263,33.013397,1900
G0450135,-112.49123,33.348843,1900
G0450155,-113.75819,35.704391,1900
G0450175,-110.32141,35.39962,1900
G0450195,-111.78994,32.097385,1900
G0450215,-111.34475,32.904305,1900
G0450235,-110.84657,31.526003,1900
G0450255,-112.55387,34.599888,1900
G0450275,-113.93985,33.203777,1900
G0500010,-91.374619,34.289665,1900
G0500030,-91.767937,33.191181,1900
G0500050,-92.336983,36.287197,1900
G0500070,-94.257332,36.339184,1900
G0500090,-93.091499,36.308582,1900
G0500110,-92.162277,33.46587,1900
G0500130,-92.503136,33.558048,1900
G0500150,-93.5382,36.341022,1900
G0500170,-91.293983,33.267212,1900
G0500190,-93.176392,34.050999,1900
G0500210,-90.417381,36.368408,1900
