gisjoin_1820,centroid_x,centroid_y,decade
G0100010,-86.545723,32.574158,1820
G0100030,-87.950516,31.188917,1820
G0100090,-86.742592,34.086124,1820
G0100130,-86.603119,31.744539,1820
G0100135,-86.96904,32.902466,1820
G0100250,-87.881485,31.736582,1820
G0100350,-87.009399,31.295198,1820
G0100375,-86.853729,34.447155,1820
G0100470,-87.114952,32.298309,1820
G0100590,-87.696266,34.533916,1820
G0100630,-87.843338,32.791267,1820
G0100670,-85.839905,31.425232,1820
G0100710,-86.1576,34.749512,1820
G0100715,-86.15506,33.226788,1820
G0100730,-86.926079,33.616386,1820
G0100770,-87.649918,34.900234,1820
G0100790,-87.326836,34.539974,1820
G0100830,-86.977966,34.810459,1820
G0100890,-86.602104,34.777153,1820
G0100910,-87.781067,32.27013,1820
G0100930,-87.774391,33.955555,1820
G0100970,-87.928192,30.662113,1820
G0100990,-87.418167,31.568346,1820
G0101010,-86.269707,32.185627,1820
G0101050,-87.299683,32.692966,1820
G0101150,-86.309334,33.730877,1820
G0101170,-86.661469,33.228252,1820
G0101250,-87.65435,33.367069,1820
G0101290,-88.249619,31.662998,1820
G0101310,-87.322021,31.98048,1820
G0550015,-91.508751,33.772034,1820
G0550017,-92.926865,35.724529,1820
G0550055,-93.12188,34.153465,1820
G0550135,-93.449913,33.519344,1820
G0550137,-97.028992,35.910965,1820
G0550275,-91.382217,35.852608,1820
G0550295,-94.746429,33.742287,1820
G0550335,-90.682693,35.142368,1820
G0550375,-93.343323,34.98436,1820
G0550377,-91.959732,34.084232,1820
G0550433,-97.776207,34.750046,1820
G0900010,-73.389023,41.273098,1820
G0900030,-72.732841,41.806408,1820
G0900050,-73.245316,41.792496,1820
G0900070,-72.536087,41.464191,1820
G0900090,-72.932335,41.410847,1820
G0900110,-72.102722,41.468399,1820
G0900130,-72.35244,41.874775,1820
G0900150,-72.030586,41.79047,1820
G1000010,-75.570091,39.082642,1820
G1000030,-75.649185,39.570881,1820
G1000050,-75.398026,38.661518,1820
G1100015,-77.041695,38.895695,1820
G1300010,-82.468178,31.24556,1820
G1300090,-83.258423,33.072174,1820
G1300290,-81.417458,31.997692,1820
G1300310,-81.778442,32.412052,1820
G1300330,-81.994949,33.03167,1820
G1300390,-81.850075,30.840111,1820
G1300510,-81.140846,32.031372,1820
G1300590,-83.409569,33.883163,1820
G1300730,-82.333435,33.531147,1820
G1300990,-84.51194,31.172396,1820
G1301030,-81.341339,32.367359,1820
G1301050,-82.868477,34.157356,1820
G1301070,-82.308411,32.584492,1820
G1301190,-83.238045,34.399101,1820
G1301270,-81.545723,31.233028,1820
G1301330,-83.151749,33.578472,1820
G1301350,-84.007225,33.96558,1820
G1301370,-83.611023,34.620232,1820
G1301390,-83.80838,34.328712,1820
G1301410,-82.996376,33.283718,1820
G1301535,-84.511238,33.327877,1820
G1301550,-83.461594,31.244272,1820
G1301570,-83.587654,34.111805,1820
G1301590,-83.690147,33.325275,1820
G1301630,-82.420799,33.056149,1820
G1301690,-83.56218,33.01532,1820
G1301750,-82.909027,32.48679,1820
G1301790,-81.581573,31.837769,1820
G1301810,-82.452888,33.794395,1820
G1301910,-81.508682,31.564247,1820
G1301950,-83.211311,34.127861,1820
G1302090,-82.627174,32.199841,1820
G1302110,-83.495308,33.590347,1820
G1302210,-83.08152,33.879932,1820
G1302350,-83.266853,32.302979,1820
G1302370,-83.372849,33.321789,1820
G1302410,-83.405769,34.883629,1820
G1302450,-82.073563,33.359638,1820
G1302510,-81.630371,32.753704,1820
G1302670,-82.108315,32.081093,1820
G1302710,-82.91507,31.883549,1820
G1302890,-83.434258,32.674484,1820
G1302970,-83.743866,33.763428,1820
G1303010,-82.64016,33.376926,1820
G1303030,-82.802483,32.951115,1820
G1303050,-81.846718,31.36384,1820
G1303170,-82.759758,33.751274,1820
G1303190,-83.171486,32.803139,1820
G1700030,-89.265656,37.200565,1820
G1700050,-89.374199,40.092121,1820
G1700230,-88.315178,40.431377,1820
G1700330,-88.345909,38.950043,1820
G1700470,-87.909523,38.530666,1820
G1700550,-88.929115,37.861694,1820
G1700590,-88.378029,37.737007,1820
G1700737,-89.11412,42.037537,1820
G1700770,-89.382133,37.785164,1820
G1700810,-88.922333,38.430126,1820
G1700870,-88.870911,37.397324,1820
G1701190,-90.368835,40.183418,1820
G1701330,-90.202713,38.268425,1820
G1701510,-88.530037,37.381393,1820
G1701570,-89.633171,38.065529,1820
G1701630,-89.939529,38.457577,1820
G1701810,-89.255096,37.471222,1820
G1701890,-89.424171,38.435616,1820
G1701910,-88.424072,38.495239,1820
G1701930,-88.346703,38.084793,1820
G1800190,-85.672318,38.479763,1820
G1800250,-86.44622,38.297142,1820
G1800270,-86.960701,38.831814,1820
G1800290,-84.971504,39.102093,1820
G1800350,-85.757004,39.918358,1820
G1800370,-86.879814,38.364258,1820
G1800410,-85.165756,39.64444,1820
G1800430,-85.887375,38.31456,1820
G1800470,-85.032166,39.449867,1820
G1800510,-87.52578,38.285267,1820
G1800610,-86.085213,38.228649,1820
G1800695,-86.197105,41.161037,1820
G1800710,-86.057831,38.924419,1820
G1800770,-85.441505,38.782696,1820
G1800790,-85.628082,38.996891,1820
G1800830,-87.418312,38.689831,1820
G1800930,-86.499077,38.83886,1820
G1801010,-86.805618,38.66729,1820
G1801050,-86.526367,39.130302,1820
G1801170,-86.495056,38.541763,1820
G1801190,-86.934494,39.338448,1820
G1801230,-86.630676,38.089005,1820
G1801250,-87.240906,38.366817,1820
G1801290,-87.859917,38.022491,1820
G1801350,-84.946381,40.421146,1820
G1801370,-85.266869,39.109749,1820
G1801430,-85.751328,38.684795,1820
G1801470,-86.991562,38.021935,1820
G1801530,-87.292793,39.080791,1820
G1801550,-85.047539,38.837612,1820
G1801630,-87.585739,38.025429,1820
G1801670,-87.352585,39.500362,1820
G1801675,-86.933189,40.0923,1820
G1801730,-87.293381,38.020069,1820
G1801750,-86.104919,38.599754,1820
G1801770,-84.98275,39.843277,1820
G2100010,-85.237106,37.077465,1820
G2100030,-86.214058,36.754688,1820
G2100090,-85.855133,36.973366,1820
G2100110,-83.618713,38.094982,1820
G2100150,-84.728516,38.955265,1820
G2100170,-84.217216,38.206772,1820
G2100230,-84.090836,38.679958,1820
G2100270,-86.479027,37.821915,1820
G2100290,-85.681885,37.974682,1820
G2100310,-86.681702,37.204529,1820
G2100330,-88.282288,36.832436,1820
G2100370,-84.45813,38.939091,1820
G2100450,-84.911102,37.333408,1820
G2100470,-87.490356,36.8941,1820
G2100490,-84.135773,37.964745,1820
G2100510,-83.46209,37.252941,1820
G2100570,-85.310257,36.771431,1820
