year,source_counties,source_two_party_votes_prejoin,source_rep_votes_prejoin,source_dem_votes_prejoin,source_two_party_votes_after_join_naive_for_diagnostic_only,matched_source_counties,bridged_two_party_votes,bridged_rep_votes,bridged_dem_votes,fallback_source_counties,unmatched_source_counties,retained_vote_share_correct,retained_vote_share
1952,3098,60656890,33775055,26881835,95719056,3093,60633170.00947033,33763504.00583807,26869666.003632274,256,5,0.9996089481256017,0.9996089481256017
1956,3100,61618950,35594797,26024153,96980232,3096,61593386.01128567,35582294.00741474,26011092.00387093,256,4,0.9995851278102867,0.9995851278102867
1960,3105,68237274,34061318,34175956,107418772,3097,68026176.01388946,33957123.00782522,34069053.00606425,257,8,0.9969064123793905,0.9969064123793905
1964,3107,70447870,27154933,43292937,111760560,3102,70236473.01542254,27108914.00675633,43127559.00866618,257,5,0.9969992423535664,0.9969992423535664
1968,3111,63174774,31752894,31421880,100227787,3106,62937086.01522114,31658300.009171724,31278786.00604944,258,5,0.9962376124245595,0.9962376124245595
1972,3110,76242330,47107388,29134942,122051255,3106,75972056.01978329,46938523.013584755,29033533.00619861,258,4,0.9964550666248433,0.9964550666248433
1976,3113,79864901,39077078,40787823,129428626,3106,79570131.02161539,38933178.01205529,40636953.00956013,258,7,0.9963091423805231,0.9963091423805231
1980,3112,79255320,43817090,35438230,129097058,3108,78989378.01298973,43687005.008251555,35302373.004738204,221,4,0.9966444904012719,0.9966444904012719
1984,3114,91833271,54318945,37514326,148606758,3108,91490157.0168461,54127611.01050729,37362546.00633882,221,6,0.9962637290448481,0.9962637290448481
1988,3114,90504238,48767346,41736892,146252865,3108,90142843.01792479,48603519.010214746,41539324.00771007,221,6,0.9960068722740342,0.9960068722740342
1992,3115,83834134,39002574,44831560,83834134,3115,83834134,39002574,44831560,0,0,1,1
1996,3114,86395813,39076022,47319791,86395813,3114,86395813,39076022,47319791,0,0,1,1
2000,3114,101225791,50294999,50930792,164542091,3109,100882688.98919457,50157168.99629475,50725519.992899835,196,5,0.9966105277378823,0.9966105277378823
2004,3114,120764365,61848622,58915743,196287599,3108,120315931.98747157,61642484.99617014,58673446.991301455,196,6,0.9962867107981032,0.9962867107981032
2008,3114,129131439,59756352,69375087,210013394,3108,128656852.98657253,59623158.99665478,69033693.98991778,196,6,0.9963247833594772,0.9963247833594772
2012,3114,126528743,60757548,65771195,793718543,3109,126101513.17968439,60636609.057550944,65464904.12213369,183,5,0.9966234563768992,0.9966234563768992
2016,3113,127605841,62508031,65097810,799981934,3107,127207337.18591501,62378942.04826764,64828395.137647614,183,6,0.9968770723114078,0.9968770723114078
2020,3113,155129917,74018305,81111612,973847816,3108,154566898.97744614,73821439.99542397,80745458.98202218,184,5,0.9963706676736386,0.9963706676736386
