czone,exposure_1990_2000,exposure_2000_2007,instrument_1990_2000,instrument_2000_2007
100,5.293786338666029,6.619860996926994,2.2788275965014972,8.968400138934589
200,3.030479166438892,10.26074591037884,2.7977347122308376,4.481700814783771
301,2.062596351676532,6.197857644865427,0.7209086374351001,4.071751744428919
302,1.0783084976265715,3.1115462273755705,1.4521378654168031,2.90649870012464
401,1.0160847787977956,2.98923875997982,1.3338325999976401,2.5337993950305053
402,3.2766714138018473,9.941081029296056,1.8541934580821757,3.967141793376032
500,2.0505001447139284,4.671787603892876,1.1078138252530074,3.9520253431684047
601,2.5728526981305695,6.879608543270431,3.7003944704500213,5.081775879995593
602,4.3025831157713785,9.85759218165096,4.177617762298919,9.80616929958555
700,0.945886281670405,3.617880949227492,1.360124655780301,2.935708249633251
800,1.4663884926240196,4.06753070604061,1.0840841405879837,4.436128946162162
900,0.8368018083203264,2.403750360758171,1.001529610246608,2.584932926250152
1001,2.0113604679810098,2.0585854158386905,1.72491676503995,2.370470839388292
1002,3.3316498079541508,9.105495934095268,2.405641914977718,5.633723317461936
1100,3.9485922585409576,9.7608143565339,2.12514154246637,6.105013122620718
1201,1.0997022260912237,2.4004284061586287,1.8819541511725408,3.116998476881024
1202,6.567269437131679,2.17100049371585,8.529717187156665,6.2976256975889155
1203,1.827455613781777,2.6871083023986997,1.365288379308119,2.42423199692954
1204,2.852943039793168,16.19071396494592,2.9311121604189814,5.207427981646323
1301,2.828323548393674,5.428065023293495,3.510926151731562,7.96713057044826
1302,1.0597934972377379,2.886864433988199,1.540054665531757,3.3057622854260926
1400,4.161126346681844,5.780438433763534,2.6460064773643714,6.500641584937208
1500,0.4896807873839748,1.6121631623029284,1.416013287067096,2.669454691051059
1600,3.633439798440708,4.6594630079547175,2.6802444782438823,6.999284940756934
1701,2.940955381004511,13.337788245574377,1.8761606490451497,4.299054765769471
1702,1.0731109005963033,3.929408320331496,1.6406628518540027,3.248924070071819
1800,1.4814412290577097,3.4852147357488357,2.747742246805842,3.7437043115372455
1900,0.810921694636326,2.2155441339922075,1.1887438905714507,2.425518653176195
2000,0.40606407490305096,0.5581490441061079,0.9981987120814698,1.0572610474886903
2100,1.9298402330599036,1.304066353357904,2.5745366168358736,4.396284113292265
2200,2.7859099123725173,3.3482246721844233,2.6236989088240583,5.3947997794555596
2300,1.3091233608745314,7.5960853300811015,1.3333915707263395,5.304284583529539
2400,0.5699027191641528,1.2072555886181588,0.5135997363154257,1.233255468264429
2500,0.321489719766754,4.516442396719107,0.47288357106508666,1.9399932903390085
2600,0.5616556096246761,2.6075896515091914,2.2364726625778046,2.8918686851430184
2700,0.40133641878683807,1.053148401391876,0.906480269884556,2.2913009587801625
2800,2.1989096058786983,6.48548319009274,2.321563036915519,5.724794447216901
2900,1.0940574267595116,3.4421041811931934,1.392226620726815,2.7430637453673157
3001,5.352758187173268,2.3533742037538934,3.2795406353894525,4.496451997790406
3002,0.4070438898915256,9.426585587942052,0.6577249820617384,2.816860776343134
3003,0.6436496370232484,1.649329077159304,0.9276843839938812,1.5039836085078713
3101,0.7581934038233467,2.8915782101315153,1.447221836594805,2.1841922497745268
3102,0.6032021025328602,2.4033194332548242,1.572979764508299,2.4110506842908106
3201,0.6176343243118746,4.427259753438477,1.9707000250761157,2.2094562321416844
3202,0.437547346053222,1.5721836264516145,0.2381271828499308,1.3454475935328756
3203,2.1940192840075112,1.9260684955231357,0.6804483136733097,2.349027460102009
3300,0.1852996748366835,0.7011535687951159,0.3574884258509046,0.9825619309996542
3400,0.11004906112271476,0.527778827933301,0.2195319520135603,0.8173477874286306
3500,0.37454597513667653,1.2091504240881943,0.47890222333593424,1.868572835855932
3600,0.196579002603412,0.849445205872377,0.2818855061148888,0.6865739462690459
3700,0.3567099006044895,1.2193715576527835,0.3940331697818828,2.2718980288723247
3800,0.209437180320761,1.3054023794785712,0.531666970067387,1.4458414093958234
3901,0.2946860221046145,1.4112690589710806,0.6462581067862918,1.0341352642787427
3902,2.112136071563015,0.44662875710425204,-0.467242923153732,2.4769193984911198
4001,1.748980041234797,4.993125390315001,1.1085499068428952,4.037347394652031
4002,1.145965511414924,1.6346341478265458,0.8184217943274078,3.1932398370987896
4003,0.7944383394721891,1.8161698864273392,0.5663715142752798,1.2742346317526554
4004,1.4412034829986058,4.414096993981178,1.0865427538254913,3.415101128527428
4101,1.061793850794004,5.575372668794714,1.4389377298967392,4.026184621839936
4102,0.8690097496972744,2.5890802078254107,0.8663829923402488,2.1658747605404014
4103,1.4523597341929277,2.702508149595896,1.358118607563615,2.4083207473447543
4200,1.3528643027008433,1.8176156379650623,1.1245887788407583,1.9063855514116042
4301,6.220408683845022,5.191898961467416,1.1253778253024531,6.893091956570401
4302,1.7980569092698238,3.022702384236433,1.3457911913497986,4.295357959127636
4401,0.2754896038511292,1.3716904828784493,0.8989544276248296,0.7526778179932491
4402,2.075809703557899,5.311718247148503,1.30731436457365,4.674707931339113
4501,0.3878954617972852,2.8068333446045863,1.5482771686475556,1.159114370398271
4502,0.009476637107531537,0.540702163183937,0.010273866504348916,0.03289321135927789
4601,1.4891068918534798,5.4238448907342125,3.216382441524388,6.90773000161273
4602,1.4714930891969003,4.499494299906622,2.0143248082245435,4.732646423035659
4701,1.3886165460426585,4.104784860392751,1.3909212043767691,5.133142525924528
4702,1.789186431790322,6.053856431604053,3.292334915710924,3.8662783054961585
4800,0.8530554060059121,1.5585933828649194,0.4441490032076937,2.3967608032843177
4901,2.154541257970682,5.946736002204187,1.917003087474048,4.237711068231891
4902,1.9836702089167049,2.9203319676822,1.8210065449966035,3.886733565502897
4903,5.471788423277191,8.310229837885815,3.6000926023430035,7.877871653118193
5000,4.8380941491924405,10.844969614268832,2.9592547853376328,7.051566182598168
5100,7.027881460214511,7.833528952716656,3.7162974530041866,11.012201768558816
5201,4.225587227690285,12.50263778677915,2.675847785185665,7.204316454640376
5202,1.2634230590723088,2.516676508663517,0.8676044672380927,2.1143547985304907
5300,4.291702900962517,7.308175449344974,3.9591638662439674,6.307976478574946
5401,0.7488984872892601,3.7014583735967173,1.9114828462776319,3.0471947387839187
5402,1.1007482173071912,5.056446552926285,2.6222388462424506,4.081568687302098
5500,2.560137666530539,4.892379908423712,2.545281906888243,10.352392990412831
5600,1.4989956905365545,3.7118578792103767,1.0614705760250802,2.536627990094802
5700,2.508818339156341,5.085766753518491,1.9093882975681589,3.8809672793703247
5800,3.8389406774232673,6.261371273893612,2.8473782375592145,6.635523824390245
5900,2.6679760328820024,4.4633574607321895,1.8240947551698303,5.985719170413136
6000,2.479047409165603,10.356919368438067,1.8988154129359003,8.27073118473846
6100,2.0066944474205686,5.797719784522794,2.937891379377219,6.86539553831093
6200,1.348250562517198,4.4402844057203446,3.3622751108383717,3.5023008718552875
6301,4.638885692796286,7.935022692248412,4.665089237696204,9.88456470974163
6302,2.6827111768634944,7.0836143154780125,4.253303212893194,6.791749353878762
6401,1.113729078849968,2.7436477209288213,0.6069612106909051,2.423103995447052
6402,2.235502781575972,10.808572940792983,4.553251369067842,7.739591689359752
6501,0.59737863295442,2.3218738644794104,2.5247696038528664,2.646215646910832
6502,4.575358966876332,11.387434764989383,4.283624499328385,7.719165821739938
6600,1.6047052860342528,3.2910980957399874,0.6014703060040599,4.621235628343849
6700,0.6216088334054757,1.49367378674789,0.5166796970937989,1.9225204252134556
6800,0.3832760727460954,0.7659544227989252,0.6860582251093442,1.5332225784612896
6900,0.6238202936476887,1.0557445605670635,0.41210486296087007,1.2542665078811008
7000,0.8871078505412133,1.9397070703935622,0.9169491259034156,1.8513380072490042
7100,0.4750144719851818,1.2193980410876637,0.6149181621046526,0.9371044320111149
7200,0.16860901907544035,0.31617276277826417,0.1335784052049315,0.2773997414141099
7300,1.0671249350716827,1.8222649484300912,0.8068179916037861,6.451344313283935
7400,0.4622657914566223,0.5892027249030818,0.5887158846001364,1.3084984560682862
7500,0.5387093805119338,0.8077393471472278,0.44037489175749295,1.0314077028065887
7600,0.3528473871798507,1.0870593706803182,0.2698746391615822,0.7182154434526764
7700,0.20147720960457446,0.5663357730764217,0.820408465847982,1.62929944243752
7800,0.5348603604300687,0.964293371773576,0.5292007186553629,1.2357765657493505
7900,0.4443837267748327,1.0603731966295729,0.44576813633027096,1.431585437960702
8000,1.1954851775118533,3.458037931420596,2.468266908617018,4.264555533753462
8100,0.6130406661313219,3.3443350590969856,1.2724131706483746,2.8731021662741068
8201,1.282693974004993,5.125764907951529,2.5602881076894195,5.574351928434379
8202,0.3622359563780009,0.9175778404510865,0.47162356833831304,2.002246561087015
8300,1.355038655168701,3.32032645972894,1.2439026116451966,3.7186707055144277
8401,0.7446438542825934,3.1307873649312463,1.6866229096147454,4.28641526752358
8402,0.6619051953238165,6.922970476923953,5.248035154061325,4.67236431730553
8501,2.167650276040148,4.989129523981808,2.4237998475883495,4.565084898446108
