czone,year,REG_VOTERS,BALLOTS_CAST,CVAP,PRES_DEM_VOTES,PRES_REP_VOTES,SEN_DEM_VOTES,SEN_REP_VOTES,PARTISAN_INDEX_DEM_NUM,PARTISAN_INDEX_REP_NUM,pop1990,reg_voters_pct,voter_turnout_pct,reg_voter_turnout_pct,pres_rep_ratio,pres_dem_ratio,partisan_index_dem,partisan_index_rep
100,2000,0,0,0,78657.999928558,122236.999905635,0,0,0,0,524270,NA,NA,NA,0.6084621319919474,0.39153786800805257,NA,NA
100,2002,0,0,0,0,0,37767,81749,0,0,404383,NA,NA,NA,NA,NA,NA,NA
100,2004,343648.999698518,236437.999813565,459993.999626131,74838.9999352,156262.999884575,0,0,0,0,524270,0.7470727878577229,0.5140023565649433,0.6880217897360131,0.6761646372875906,0.32383536271240937,0,0
100,2006,343808.999698518,39933.999865756,465795.999625159,0,0,63822.999951454,106678.999924211,165175.27278373542,300620.7259986145,524270,0.7381106750062091,0.08573280985215023,0.11615170021952201,NA,NA,0.3546086117456081,0.6453913864449966
100,2008,364616.999679807,244078.999799201,477399.999623215,72720.999928045,165371.999876367,63165.999905635,158290.999926344,158061.90586496555,319338.0863023086,524270,0.7637557603007513,0.5112672810888957,0.6694120131906687,0.6945689289992413,0.3054310710007588,0.3310890364258796,0.6689109479563138
100,2010,368677.073822523,155865.19244475794,477384.2544070918,0,0,0,0,157961.0274151071,319423.2308223373,524270,0.7722857853374689,0.32649839412559073,0.42276887691635984,NA,NA,0.3308886415017891,0.6691113665218367
100,2012,374368.93853959534,237350.8513886229,477384.2544070918,63793.2856039304,167265.74921445138,52109.87275870766,164886.85223551135,147018.63332762424,330365.62292034837,524270,0.7842088110018609,0.49719036436049013,0.6340025225236985,0.7239091487849695,0.2760908512150305,0.30796707677386725,0.6920329270823151
100,2014,367786.44110036496,132576.01079581282,481424.2363306743,0,0,29910.25409431392,91072.21304681031,126994.68306987047,354429.55084333604,524270,0.7639549763916428,0.27538291758280065,0.3604700880194609,NA,NA,0.2637895508497874,0.7362104441287209
100,2016,379226.17219039646,242277.76730301636,481424.2363306743,49672.79197154009,181213.30091229567,0,0,114618.13532283678,366806.10224472976,524270,0.7877172430719059,0.5032521194811717,0.6388740679569368,0.7848601821308845,0.2151398178691154,0.23808135667708552,0.76191864589215
100,2018,374157.02275005396,207468.63557336226,500695.9077111804,0,0,59053.42500599034,144234.34544023543,145121.53361917922,355574.3784844359,524270,0.7472739780527252,0.41436055773205505,0.5544961686098202,NA,NA,0.289839663924097,0.7101603448485625
